Season,Age,Tm,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
2003,25.0,SAS,NBA,SG,24,660,15.0,0.522,0.397,0.402,5.0,10.1,7.7,17.8,3.3,1.0,14.3,17.5,,0.7,1.3,2.1,0.152,,0.5,3.2,3.7,1.0
2004,26.0,SAS,NBA,SG,10,280,22.2,0.573,0.372,0.468,6.1,16.9,11.3,20.2,3.3,0.3,15.6,22.5,,0.9,0.4,1.3,0.224,,2.8,4.3,7.2,0.6
2005,27.0,SAS,NBA,SG,23,772,24.8,0.652,0.336,0.647,3.0,17.2,10.3,23.8,2.0,0.6,15.2,26.3,,3.0,1.2,4.2,0.26,,6.1,3.1,9.2,2.2
2006,28.0,SAS,NBA,SG,13,426,21.5,0.612,0.268,0.554,2.9,14.2,8.9,16.3,2.4,1.2,14.5,26.1,,1.0,0.3,1.4,0.154,,2.4,1.3,3.7,0.6
2007,29.0,SAS,NBA,SG,20,602,21.9,0.559,0.401,0.47,3.2,17.8,10.7,21.6,3.0,0.5,12.4,26.8,,1.6,1.0,2.6,0.204,,3.3,2.6,6.0,1.2
2008,30.0,SAS,NBA,SG,17,559,17.1,0.57,0.44,0.332,2.9,10.3,6.6,21.6,1.0,0.7,15.0,26.8,,0.7,0.6,1.3,0.112,,2.9,0.4,3.3,0.7
2010,32.0,SAS,NBA,SG,10,352,21.4,0.572,0.429,0.479,1.3,10.7,6.0,28.7,3.9,0.5,15.0,26.4,,0.6,0.5,1.1,0.149,,4.3,2.8,7.1,0.8
2011,33.0,SAS,NBA,SG,5,174,22.3,0.585,0.4,0.586,1.3,12.3,6.7,23.6,4.0,1.2,16.2,28.3,,0.3,0.3,0.6,0.155,,4.2,2.9,7.1,0.4
2012,34.0,SAS,NBA,SG,14,390,17.0,0.592,0.469,0.386,2.5,11.8,7.3,23.0,1.3,0.7,19.8,25.2,,0.7,0.3,1.0,0.12,,2.0,-0.2,1.8,0.4
2013,35.0,SAS,NBA,SG,21,560,16.5,0.53,0.497,0.415,1.9,13.7,8.0,29.7,2.3,0.8,19.4,23.9,,0.5,0.8,1.3,0.11,,1.2,1.6,2.8,0.7
2014,36.0,SAS,NBA,SG,23,586,20.3,0.593,0.443,0.397,1.8,12.9,7.5,25.1,3.2,0.3,15.7,26.2,,1.2,1.0,2.2,0.184,,2.9,2.4,5.3,1.1
2015,37.0,SAS,NBA,SG,7,131,17.1,0.527,0.512,0.535,3.2,16.8,9.8,36.4,1.6,3.6,20.9,23.0,,0.2,0.2,0.3,0.117,,1.8,3.0,4.8,0.2
2016,38.0,SAS,NBA,SG,10,192,16.0,0.586,0.447,0.489,3.8,11.9,8.1,18.5,2.2,1.2,10.9,15.6,,0.5,0.3,0.8,0.191,,0.1,2.4,2.5,0.2
2017,39.0,SAS,NBA,SG,16,284,14.1,0.495,0.412,0.237,3.9,12.3,7.9,20.1,2.9,0.7,10.1,18.6,,0.3,0.3,0.5,0.092,,-1.2,2.2,1.0,0.2
2018,40.0,SAS,NBA,SG,5,107,15.3,0.538,0.486,0.297,1.0,15.9,7.9,25.8,3.4,0.8,14.3,20.9,,0.1,0.1,0.2,0.069,,-0.3,3.0,2.8,0.1
