SEASON,TEAM ID,TEAM,PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
2010,25,POR,LaMarcus Aldridge,24,78,78,2922,10.8,21.9,0.5,0.1,0.3,0.31,10.7,21.6,0.5,4.3,5.7,0.76,3.6,8.1,11.7,3.0,1.3,0.9,1.9,4.3,26.1,,113,107
2010,25,POR,Andre Miller,33,82,66,2500,8.8,19.9,0.44,0.4,1.8,0.2,8.5,18.1,0.47,7.0,8.6,0.82,1.8,4.0,5.8,9.7,2.0,0.2,3.8,3.7,25.1,,111,108
2010,25,POR,Brandon Roy,25,65,65,2419,11.1,23.5,0.47,1.7,5.0,0.33,9.5,18.5,0.51,7.8,10.0,0.78,1.7,4.8,6.4,6.9,1.4,0.4,2.9,3.1,31.6,,117,109
2010,25,POR,Martell Webster,23,82,49,2005,7.1,17.4,0.4,3.4,9.1,0.37,3.7,8.4,0.44,3.4,4.2,0.81,1.3,6.0,7.3,1.7,1.2,1.1,1.6,4.2,21.0,,111,108
2010,25,POR,Juwan Howard,36,73,27,1632,6.4,12.6,0.51,0.0,0.0,0.0,6.4,12.5,0.51,1.8,2.3,0.79,3.6,7.6,11.2,2.0,0.9,0.3,2.4,6.4,14.7,,107,108
2010,25,POR,Rudy Fernandez,24,62,2,1441,6.1,16.1,0.38,3.7,10.1,0.37,2.4,6.0,0.4,3.2,3.7,0.87,1.3,4.9,6.2,4.8,2.4,0.4,2.7,3.3,19.1,,108,107
2010,25,POR,Steve Blake,29,51,28,1397,5.6,13.9,0.4,3.1,8.1,0.38,2.5,5.8,0.44,0.9,1.3,0.75,0.6,4.0,4.6,8.0,1.4,0.1,2.5,3.3,15.2,,109,110
2010,25,POR,Jerryd Bayless,21,74,11,1304,8.4,20.3,0.41,1.2,3.9,0.32,7.2,16.4,0.44,8.4,10.2,0.83,0.8,4.3,5.0,7.2,1.1,0.2,3.9,6.4,26.4,,108,110
2010,25,POR,Nicolas Batum,21,37,25,918,8.3,16.0,0.52,3.2,7.9,0.41,5.1,8.1,0.62,2.6,3.0,0.84,1.9,6.5,8.4,2.6,1.4,1.5,1.6,4.9,22.3,,127,107
2010,25,POR,Marcus Camby,35,23,23,718,5.5,11.0,0.5,0.0,0.1,0.0,5.5,11.0,0.5,1.4,2.4,0.58,6.3,13.1,19.4,2.7,2.0,3.6,2.1,4.3,12.3,,113,99
2010,25,POR,Dante Cunningham,22,63,2,707,8.2,16.6,0.5,0.0,0.2,0.0,8.2,16.4,0.5,2.4,3.7,0.65,4.2,8.2,12.4,1.1,1.9,1.7,1.2,7.5,18.8,,112,104
2010,25,POR,Joel Przybilla,30,30,9,681,3.6,6.9,0.52,0.0,0.0,,3.6,6.9,0.52,2.7,4.1,0.65,5.8,13.3,19.1,0.6,0.6,3.5,3.1,7.6,9.9,,104,102
2010,25,POR,Greg Oden,22,21,21,502,10.0,16.6,0.6,0.0,0.0,,10.0,16.6,0.6,5.3,7.0,0.77,7.0,12.4,19.4,2.1,0.9,5.2,4.3,9.2,25.4,,118,100
2010,25,POR,Jeff Ayres,22,39,4,405,5.8,8.8,0.66,0.0,0.0,,5.8,8.8,0.66,2.4,2.7,0.9,3.4,9.9,13.2,0.1,0.9,2.2,1.6,10.3,14.0,,130,105
2010,25,POR,Travis Outlaw,25,11,0,231,9.0,23.9,0.38,2.8,7.3,0.39,6.2,16.6,0.37,5.0,5.7,0.88,3.1,5.9,9.0,1.9,1.7,1.9,2.8,3.1,25.8,,101,106
2010,25,POR,Patty Mills,21,10,0,38,14.4,34.6,0.42,2.9,5.8,0.5,11.5,28.8,0.4,5.8,10.1,0.57,1.4,1.4,2.9,7.2,0.0,0.0,5.8,8.6,37.4,,95,114
2010,25,POR,Travis Diener,27,5,0,26,2.1,8.4,0.25,0.0,4.2,0.0,2.1,4.2,0.5,2.1,4.2,0.5,0.0,2.1,2.1,8.4,2.1,0.0,0.0,2.1,6.3,,101,110
2010,25,POR,Shavlik Randolph,26,3,0,6,9.1,27.4,0.33,0.0,0.0,,9.1,27.4,0.33,18.2,18.2,1.0,0.0,9.1,9.1,9.1,0.0,0.0,9.1,0.0,36.5,,96,110
2010,25,POR,Anthony Tolliver,24,2,0,4,0.0,13.7,0.0,0.0,13.7,0.0,0.0,0.0,,0.0,0.0,,0.0,13.7,13.7,0.0,0.0,0.0,0.0,13.7,0.0,,0,107
