Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1994,27.0,DEN,NBA,C,12.0,12.0,42.6,4.2,9.0,0.463,0.0,0.0,,4.2,9.0,0.463,0.463,4.9,8.2,0.602,3.3,8.7,12.0,1.8,0.7,5.8,2.5,3.5,13.3
1995,28.0,DEN,NBA,C,3.0,3.0,28.0,2.0,3.3,0.6,0.0,0.0,,2.0,3.3,0.6,0.6,2.0,3.0,0.667,1.3,5.0,6.3,0.3,0.0,2.3,2.3,5.0,6.0
1997,30.0,ATL,NBA,C,10.0,10.0,41.5,5.4,8.6,0.628,0.0,0.0,,5.4,8.6,0.628,0.628,4.6,6.4,0.719,3.7,8.6,12.3,1.3,0.1,2.6,2.0,3.0,15.4
1998,31.0,ATL,NBA,C,4.0,4.0,34.0,2.8,6.0,0.458,0.0,0.0,,2.8,6.0,0.458,0.458,2.5,4.0,0.625,3.3,9.5,12.8,0.3,0.3,2.3,2.0,2.5,8.0
1999,32.0,ATL,NBA,C,9.0,9.0,42.2,4.4,7.9,0.563,0.0,0.0,,4.4,7.9,0.563,0.563,3.7,5.2,0.702,4.0,9.9,13.9,1.2,0.6,2.6,2.0,3.1,12.6
2001,34.0,PHI,NBA,C,23.0,23.0,42.7,4.4,9.0,0.49,0.0,0.0,0.0,4.4,9.0,0.493,0.49,5.0,6.4,0.777,4.9,8.8,13.7,0.7,0.7,3.1,1.6,2.4,13.9
2002,35.0,PHI,NBA,C,5.0,5.0,34.6,2.8,6.2,0.452,0.0,0.0,,2.8,6.2,0.452,0.452,3.2,5.2,0.615,2.8,7.8,10.6,0.6,0.4,1.8,2.2,3.2,8.8
2003,36.0,NJN,NBA,C,10.0,0.0,11.5,0.7,1.5,0.467,0.0,0.0,,0.7,1.5,0.467,0.467,0.4,0.4,1.0,0.8,1.9,2.7,0.6,0.3,0.9,0.8,2.1,1.8
2004,37.0,NYK,NBA,C,3.0,0.0,12.7,0.7,2.0,0.333,0.0,0.0,,0.7,2.0,0.333,0.333,1.0,1.0,1.0,1.3,2.0,3.3,0.0,0.3,1.3,1.0,2.0,2.3
2005,38.0,HOU,NBA,C,7.0,0.0,14.4,0.9,1.6,0.545,0.0,0.0,,0.9,1.6,0.545,0.545,1.4,1.9,0.769,1.6,3.4,5.0,0.3,0.3,1.0,1.0,2.1,3.1
2007,40.0,HOU,NBA,C,7.0,0.0,5.7,0.4,0.4,1.0,0.0,0.0,,0.4,0.4,1.0,1.0,0.4,0.4,1.0,0.7,0.9,1.6,0.1,0.0,0.4,0.0,0.7,1.3
2008,41.0,HOU,NBA,C,6.0,6.0,20.5,1.3,2.2,0.615,0.0,0.0,,1.3,2.2,0.615,0.615,1.2,1.8,0.636,1.7,4.8,6.5,0.3,0.2,1.8,0.2,1.7,3.8
2009,42.0,HOU,NBA,C,2.0,0.0,10.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,1.0,0.0,0.5,4.0,4.5,0.0,0.5,1.0,0.0,2.5,0.0
