Season,Age,Tm,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
1989,21.0,CHH,NBA,SG,75.0,2219.0,12.6,0.467,0.15,0.153,3.5,5.9,4.7,12.6,1.5,0.7,7.7,27.1,,-0.7,0.4,-0.2,-0.005,,-1.0,-2.2,-3.2,-0.7
1990,22.0,CHH,NBA,SG,54.0,1762.0,11.9,0.469,0.154,0.208,3.2,8.7,5.8,12.2,1.3,0.2,9.0,26.8,,-1.4,0.7,-0.7,-0.018,,-1.6,-2.1,-3.7,-0.8
1991,23.0,CHH,NBA,PG,70.0,2100.0,15.1,0.527,0.161,0.306,2.4,8.2,5.2,18.8,1.7,0.5,11.1,23.9,,2.0,1.0,3.0,0.069,,0.4,-0.9,-0.5,0.8
1992,24.0,TOT,NBA,"PG,SG",22.0,567.0,12.1,0.49,0.115,0.21,1.9,9.3,5.5,22.1,1.3,0.8,14.0,22.9,,-0.1,0.2,0.1,0.01,,-1.1,-1.2,-2.3,0.0
1992,24.0,CHH,NBA,PG,21.0,545.0,12.3,0.494,0.113,0.221,1.7,9.0,5.3,22.1,1.2,0.8,13.8,22.7,,0.0,0.2,0.2,0.016,,-0.8,-1.1,-1.9,0.0
1992,24.0,WSB,NBA,SG,1.0,22.0,7.2,0.417,0.167,0.0,4.9,15.3,10.0,22.0,2.2,0.0,20.0,28.8,,-0.1,0.0,-0.1,-0.123,,-8.7,-2.5,-11.1,-0.1
1993,25.0,WSB,NBA,SG,60.0,1300.0,15.1,0.556,0.193,0.271,1.6,6.1,3.8,14.6,1.4,0.5,10.5,24.6,,1.5,0.4,1.9,0.07,,0.5,-1.5,-1.0,0.3
1994,26.0,WSB,NBA,SG,60.0,2025.0,16.9,0.572,0.191,0.238,3.2,5.2,4.2,15.3,1.5,0.2,10.9,22.7,,4.2,-0.3,3.9,0.092,,2.4,-2.2,0.3,1.2
1995,27.0,WSB,NBA,SG,45.0,1468.0,15.3,0.516,0.429,0.249,1.7,7.3,4.4,13.9,2.3,0.7,8.0,23.0,,1.7,0.8,2.5,0.081,,1.1,-0.4,0.7,1.0
1996,28.0,MIA,NBA,SG,56.0,1865.0,13.0,0.539,0.496,0.166,1.4,7.5,4.5,15.4,1.3,0.4,9.8,19.7,,2.3,1.9,4.2,0.108,,0.7,0.1,0.8,1.3
1997,29.0,PHO,NBA,SG,65.0,1833.0,15.2,0.551,0.419,0.199,1.6,9.9,5.8,16.3,1.5,0.3,10.5,22.4,,2.4,0.9,3.3,0.086,,1.3,-1.0,0.2,1.0
1998,30.0,PHO,NBA,SG,68.0,2263.0,14.4,0.521,0.325,0.196,1.6,7.2,4.5,14.8,1.6,0.4,10.0,23.1,,2.4,2.1,4.5,0.095,,0.9,-0.7,0.2,1.3
1999,31.0,PHO,NBA,SG,38.0,1183.0,11.8,0.46,0.329,0.198,1.2,9.2,5.1,15.2,1.5,0.6,9.8,21.6,,0.3,0.6,0.9,0.035,,-1.0,-1.5,-2.5,-0.1
