Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Ortg,Drtg
1981,26,3059,KCK,Kansas City Kings,Scott Wedman,28,15,,657,10.3,23.7,0.43,0.7,2.6,0.28,9.6,21.2,0.45,3.2,4.5,0.71,1.3,5.7,6.9,4.6,1.4,0.6,3.1,4.1,24.5,96,104
1981,26,1133,KCK,Kansas City Kings,Ernie Grunfeld,25,15,,633,8.1,16.7,0.49,0.2,0.3,0.5,8.0,16.3,0.49,4.5,5.6,0.81,0.9,4.3,5.2,7.3,2.5,0.7,3.6,4.2,20.9,105,102
1981,26,1622,KCK,Kansas City Kings,Reggie King,23,15,,620,10.3,21.0,0.49,0.0,0.1,0.0,10.3,20.9,0.49,6.3,8.6,0.74,4.7,7.9,12.6,2.1,1.5,0.8,3.0,4.1,27.0,109,102
1981,26,1675,KCK,Kansas City Kings,Sam Lacey,32,15,,533,5.9,14.1,0.42,0.0,0.3,0.0,5.9,13.8,0.43,3.0,3.4,0.86,3.0,8.9,11.8,7.9,2.8,2.3,3.8,6.2,14.8,97,97
1981,26,770,KCK,Kansas City Kings,Leon Douglas,26,15,,318,2.5,5.3,0.47,0.0,0.0,,2.5,5.3,0.47,2.5,5.8,0.43,3.0,7.8,10.7,1.8,0.7,0.5,3.0,7.8,7.4,84,104
1981,26,247,KCK,Kansas City Kings,Otis Birdsong,25,8,,234,12.5,22.0,0.57,0.2,0.2,1.0,12.3,21.7,0.57,2.5,4.0,0.61,1.8,2.9,4.7,6.1,2.7,0.0,4.5,2.9,27.8,104,104
1981,26,1972,KCK,Kansas City Kings,Joe Meriweather,27,10,,199,6.3,12.9,0.49,0.0,0.0,,6.3,12.9,0.49,2.1,3.7,0.57,3.2,5.0,8.2,1.3,1.3,1.8,2.4,8.2,14.8,97,103
1981,26,1681,KCK,Kansas City Kings,John Lambert,28,15,,175,6.6,16.2,0.41,0.0,0.9,0.0,6.6,15.3,0.43,1.5,1.8,0.83,5.7,5.4,11.1,2.7,1.5,1.2,1.8,6.3,14.7,98,103
1981,26,936,KCK,Kansas City Kings,Phil Ford,24,5,,158,5.0,11.6,0.43,0.0,0.3,0.0,5.0,11.3,0.44,3.0,4.3,0.69,0.3,2.3,2.7,9.6,1.7,0.0,5.6,3.0,12.9,85,106
1981,26,3018,KCK,Kansas City Kings,Lloyd Walton,27,8,,73,2.9,10.8,0.27,0.0,0.7,0.0,2.9,10.1,0.29,2.2,2.9,0.75,2.2,2.9,5.0,13.6,2.9,0.0,6.5,4.3,7.9,75,103
1981,26,2552,KCK,Kansas City Kings,Frankie Sanders,24,9,,50,9.4,18.9,0.5,1.0,2.1,0.5,8.4,16.8,0.5,4.2,4.2,1.0,4.2,1.0,5.2,2.1,3.1,0.0,8.4,8.4,24.1,87,104
