PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
Sidney Moncrief,24,6,,252,6.3,15.0,0.419,0.0,0.2,0.0,6.3,14.8,0.425,6.1,7.7,0.789,3.0,3.0,6.1,4.9,1.8,0.4,2.4,4.5,18.7,,113,115
Marques Johnson,25,6,,235,9.6,21.8,0.44,0.2,0.9,0.25,9.4,20.9,0.44799999999999995,5.2,9.1,0.5710000000000001,5.0,4.6,9.6,4.4,1.3,0.4,2.6,5.4,24.6,,107,115
Brian Winters,29,6,,232,8.4,17.0,0.494,1.1,2.2,0.5,7.3,14.8,0.493,4.4,5.3,0.833,0.9,2.4,3.3,6.2,1.8,0.2,4.9,5.1,22.3,,106,115
Bob Lanier,33,6,,212,9.9,19.3,0.513,0.0,0.2,0.0,9.9,19.1,0.519,3.4,6.0,0.56,4.3,6.5,10.9,5.3,1.9,1.2,3.4,5.1,23.2,,109,112
Mickey Johnson,29,6,,206,10.7,18.6,0.573,0.0,0.2,0.0,10.7,18.4,0.581,8.2,9.7,0.846,3.7,4.2,8.0,4.5,2.0,1.0,3.2,6.7,29.6,,128,113
Alton Lister,23,6,,112,6.4,11.0,0.583,0.0,0.0,,6.4,11.0,0.583,2.3,3.2,0.7140000000000001,2.7,9.6,12.3,2.3,0.9,6.9,4.1,10.5,15.1,,101,106
Robert Smith,26,6,,68,7.5,19.6,0.385,1.5,5.3,0.28600000000000003,6.0,14.3,0.42100000000000004,5.3,6.0,0.875,0.8,4.5,5.3,9.0,0.8,0.0,0.8,6.0,21.8,,124,116
Scott May,27,4,,50,4.1,20.5,0.2,0.0,0.0,,4.1,20.5,0.2,9.2,14.3,0.643,7.2,4.1,11.3,10.2,2.0,0.0,6.1,6.1,17.4,,83,114
Pat Cummings,25,6,,44,4.7,12.8,0.364,0.0,0.0,,4.7,12.8,0.364,1.2,2.3,0.5,3.5,9.3,12.8,2.3,0.0,2.3,4.7,8.1,10.5,,74,113
Harvey Catchings,30,6,,26,3.9,5.9,0.667,0.0,0.0,,3.9,5.9,0.667,0.0,0.0,,5.9,7.9,13.8,0.0,0.0,5.9,5.9,17.7,7.9,,76,110
Brad Holland,25,1,,3,17.1,17.1,1.0,0.0,0.0,,17.1,17.1,1.0,0.0,0.0,,0.0,0.0,0.0,17.1,0.0,0.0,0.0,0.0,34.1,,201,121
