Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg
2012,30,1804,WAS,Washington Wizards,Shelvin Mack,1990-04-22,21.0,NBA,PG,64.0,0.0,779.0,5.9,14.7,0.4,0.8,2.8,0.29,5.1,11.9,0.43,2.8,3.9,0.71,0.8,5.3,6.1,8.7,1.9,0.1,3.2,3.3,15.3,99.0,108.0
2013,31,1804,TOT,Total After Trade,Shelvin Mack,1990-04-22,22.0,NBA,"PG,SG",31.0,3.0,416.0,7.2,15.7,0.46,2.2,6.1,0.37,5.0,9.6,0.52,1.1,2.0,0.56,0.4,4.6,5.0,8.5,1.9,0.0,4.2,4.9,17.8,99.0,106.0
2013,30,1804,WAS,Washington Wizards,Shelvin Mack,1990-04-22,22.0,NBA,PG,7.0,2.0,141.0,5.9,14.8,0.4,1.5,4.8,0.31,4.4,10.0,0.44,0.4,0.7,0.5,1.1,4.8,5.9,8.5,2.2,0.0,3.0,3.7,13.7,96.0,104.0
2013,23,1804,PHI,Philadelphia 76Ers,Shelvin Mack,1990-04-22,22.0,NBA,SG,4.0,0.0,7.0,7.5,15.1,0.5,0.0,7.5,0.0,7.5,7.5,1.0,0.0,0.0,,0.0,0.0,0.0,7.5,0.0,0.0,15.1,7.5,15.1,56.0,115.0
2013,1,1804,ATL,Atlanta Hawks,Shelvin Mack,1990-04-22,22.0,NBA,PG,20.0,1.0,268.0,7.9,16.2,0.49,2.7,6.8,0.4,5.2,9.5,0.55,1.5,2.7,0.57,0.0,4.6,4.6,8.5,1.7,0.0,4.6,5.4,20.1,102.0,107.0
2014,1,1804,ATL,Atlanta Hawks,Shelvin Mack,1990-04-22,23.0,NBA,PG,73.0,11.0,1490.0,7.1,17.1,0.42,2.1,6.3,0.34,5.0,10.8,0.46,2.2,2.5,0.86,0.7,4.7,5.4,9.2,1.7,0.1,3.0,3.4,18.5,105.0,109.0
2015,1,1804,ATL,Atlanta Hawks,Shelvin Mack,1990-04-22,24.0,NBA,PG,55.0,0.0,833.0,7.2,17.9,0.4,2.5,7.8,0.32,4.7,10.1,0.47,1.5,1.9,0.81,0.5,4.4,4.8,9.5,1.8,0.1,3.0,2.0,18.3,102.0,106.0
2016,31,1804,TOT,Total After Trade,Shelvin Mack,1990-04-22,25.0,NBA,PG,52.0,27.0,1058.0,9.0,20.5,0.44,1.9,6.2,0.31,7.0,14.3,0.49,2.2,3.0,0.74,0.6,5.7,6.3,9.2,1.7,0.1,4.7,3.5,22.1,99.0,106.0
2016,1,1804,ATL,Atlanta Hawks,Shelvin Mack,1990-04-22,25.0,NBA,PG,24.0,0.0,179.0,11.0,26.2,0.42,1.1,7.5,0.15,9.9,18.8,0.53,2.5,3.3,0.75,0.6,5.5,6.1,10.5,2.2,0.0,3.9,1.9,25.7,95.0,103.0
2016,29,1804,UTA,Utah Jazz,Shelvin Mack,1990-04-22,25.0,NBA,PG,28.0,27.0,879.0,8.5,19.2,0.44,2.1,5.9,0.36,6.4,13.3,0.48,2.2,2.9,0.74,0.7,5.7,6.4,8.9,1.6,0.2,4.9,3.9,21.3,100.0,106.0
2017,29,1804,UTA,Utah Jazz,Shelvin Mack,1990-04-22,26.0,NBA,PG,55.0,9.0,1205.0,7.4,16.6,0.45,1.6,5.2,0.31,5.8,11.4,0.51,2.3,3.4,0.69,0.9,4.6,5.4,6.7,1.8,0.1,3.9,4.4,18.7,99.0,107.0
2018,22,1804,ORL,Orlando Magic,Shelvin Mack,1990-04-22,27.0,NBA,PG,69.0,3.0,1365.0,6.4,14.8,0.43,1.7,5.0,0.34,4.7,9.9,0.47,2.5,3.5,0.71,0.8,5.1,6.0,9.8,1.9,0.3,3.2,3.3,17.0,106.0,111.0
2019,31,1804,TOT,Total After Trade,Shelvin Mack,1990-04-22,28.0,NBA,PG,57.0,3.0,1246.0,6.5,16.1,0.4,1.8,5.2,0.35,4.7,10.9,0.43,2.3,3.3,0.69,0.7,3.4,4.1,7.3,1.9,0.2,2.6,3.3,17.1,100.0,112.0
2019,15,1804,MEM,Memphis Grizzlies,Shelvin Mack,1990-04-22,28.0,NBA,PG,53.0,3.0,1204.0,6.6,16.1,0.41,1.9,5.3,0.36,4.7,10.8,0.44,2.2,3.1,0.71,0.7,3.5,4.2,7.5,1.9,0.2,2.6,3.3,17.4,102.0,112.0
2019,4,1804,CHO,Charlotte Hornets,Shelvin Mack,1990-04-22,28.0,NBA,PG,4.0,0.0,42.0,2.3,16.2,0.14,0.0,2.3,0.0,2.3,13.9,0.17,5.8,10.4,0.56,0.0,2.3,2.3,1.2,2.3,0.0,4.6,3.5,10.4,47.0,115.0
