Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp Dbl
1994,5,1662,CHI,Chicago Bulls,Toni Kukoc,"September 18, 1968",25.0,NBA,SF,75.0,8.0,1808.0,313.0,726.0,0.43,32.0,118.0,0.27,281.0,608.0,0.46,0.45,156.0,210.0,0.74,98.0,199.0,297.0,252.0,81.0,33.0,167.0,122.0,814.0,0.0
1995,5,1662,CHI,Chicago Bulls,Toni Kukoc,"September 18, 1968",26.0,NBA,SF,81.0,55.0,2584.0,487.0,967.0,0.5,62.0,198.0,0.31,425.0,769.0,0.55,0.54,235.0,314.0,0.75,155.0,285.0,440.0,372.0,102.0,16.0,165.0,163.0,1271.0,1.0
1996,5,1662,CHI,Chicago Bulls,Toni Kukoc,"September 18, 1968",27.0,NBA,SF,81.0,20.0,2103.0,386.0,787.0,0.49,87.0,216.0,0.4,299.0,571.0,0.52,0.55,206.0,267.0,0.77,115.0,208.0,323.0,287.0,64.0,28.0,114.0,150.0,1065.0,0.0
1997,5,1662,CHI,Chicago Bulls,Toni Kukoc,"September 18, 1968",28.0,NBA,SF,57.0,15.0,1610.0,285.0,605.0,0.47,50.0,151.0,0.33,235.0,454.0,0.52,0.51,134.0,174.0,0.77,94.0,167.0,261.0,256.0,60.0,29.0,91.0,97.0,754.0,0.0
1998,5,1662,CHI,Chicago Bulls,Toni Kukoc,"September 18, 1968",29.0,NBA,SF,74.0,52.0,2235.0,383.0,841.0,0.46,63.0,174.0,0.36,320.0,667.0,0.48,0.49,155.0,219.0,0.71,121.0,206.0,327.0,314.0,76.0,37.0,154.0,149.0,984.0,0.0
1999,5,1662,CHI,Chicago Bulls,Toni Kukoc,"September 18, 1968",30.0,NBA,SF,44.0,44.0,1654.0,315.0,750.0,0.42,39.0,137.0,0.28,276.0,613.0,0.45,0.45,159.0,215.0,0.74,65.0,245.0,310.0,235.0,49.0,11.0,121.0,82.0,828.0,0.0
2000,31,1662,TOT,Total After Trade,Toni Kukoc,"September 18, 1968",31.0,NBA,SF,56.0,31.0,1784.0,297.0,728.0,0.41,44.0,168.0,0.26,253.0,560.0,0.45,0.44,192.0,265.0,0.72,75.0,198.0,273.0,265.0,77.0,28.0,146.0,112.0,830.0,1.0
2000,5,1662,CHI,Chicago Bulls,Toni Kukoc,"September 18, 1968",31.0,NBA,SF,24.0,23.0,868.0,148.0,388.0,0.38,18.0,78.0,0.23,130.0,310.0,0.42,0.4,118.0,155.0,0.76,37.0,93.0,130.0,124.0,44.0,19.0,75.0,51.0,432.0,0.0
2000,23,1662,PHI,Philadelphia 76Ers,Toni Kukoc,"September 18, 1968",31.0,NBA,SF,32.0,8.0,916.0,149.0,340.0,0.44,26.0,90.0,0.29,123.0,250.0,0.49,0.48,74.0,110.0,0.67,38.0,105.0,143.0,141.0,33.0,9.0,71.0,61.0,398.0,1.0
2001,31,1662,TOT,Total After Trade,Toni Kukoc,"September 18, 1968",32.0,NBA,SF,65.0,19.0,1597.0,275.0,582.0,0.47,70.0,157.0,0.45,205.0,425.0,0.48,0.53,101.0,160.0,0.63,66.0,193.0,259.0,199.0,48.0,11.0,111.0,98.0,721.0,2.0
2001,23,1662,PHI,Philadelphia 76Ers,Toni Kukoc,"September 18, 1968",32.0,NBA,SF,48.0,5.0,979.0,151.0,330.0,0.46,32.0,78.0,0.41,119.0,252.0,0.47,0.51,52.0,88.0,0.59,47.0,115.0,162.0,93.0,35.0,6.0,60.0,62.0,386.0,0.0
2001,1,1662,ATL,Atlanta Hawks,Toni Kukoc,"September 18, 1968",32.0,NBA,SF,17.0,14.0,618.0,124.0,252.0,0.49,38.0,79.0,0.48,86.0,173.0,0.5,0.57,49.0,72.0,0.68,19.0,78.0,97.0,106.0,13.0,5.0,51.0,36.0,335.0,2.0
2002,1,1662,ATL,Atlanta Hawks,Toni Kukoc,"September 18, 1968",33.0,NBA,SF,59.0,9.0,1494.0,211.0,504.0,0.42,53.0,171.0,0.31,158.0,333.0,0.47,0.47,109.0,153.0,0.71,43.0,175.0,218.0,210.0,48.0,17.0,113.0,91.0,584.0,0.0
2003,17,1662,MIL,Milwaukee Bucks,Toni Kukoc,"September 18, 1968",34.0,NBA,PF,63.0,0.0,1704.0,249.0,577.0,0.43,95.0,263.0,0.36,154.0,314.0,0.49,0.51,137.0,194.0,0.71,67.0,199.0,266.0,230.0,81.0,29.0,122.0,134.0,730.0,0.0
2004,17,1662,MIL,Milwaukee Bucks,Toni Kukoc,"September 18, 1968",35.0,NBA,PF,73.0,0.0,1522.0,211.0,506.0,0.42,49.0,168.0,0.29,162.0,338.0,0.48,0.46,145.0,199.0,0.73,60.0,211.0,271.0,200.0,59.0,21.0,110.0,110.0,616.0,0.0
2005,17,1662,MIL,Milwaukee Bucks,Toni Kukoc,"September 18, 1968",36.0,NBA,SF,53.0,6.0,1099.0,105.0,256.0,0.41,42.0,116.0,0.36,63.0,140.0,0.45,0.49,44.0,61.0,0.72,31.0,129.0,160.0,160.0,39.0,13.0,64.0,70.0,296.0,0.0
2006,17,1662,MIL,Milwaukee Bucks,Toni Kukoc,"September 18, 1968",37.0,NBA,PF,65.0,0.0,1018.0,116.0,298.0,0.39,45.0,147.0,0.31,71.0,151.0,0.47,0.46,40.0,56.0,0.71,26.0,124.0,150.0,139.0,33.0,17.0,66.0,87.0,317.0,0.0
