Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1993,22.0,PHI,NBA,SF,82.0,82.0,32.4,6.0,12.8,0.469,0.0,0.0,0.25,6.0,12.8,0.47,0.47,3.5,5.0,0.713,2.2,5.0,7.2,1.8,1.0,0.8,2.1,2.3,15.6
1994,23.0,PHI,NBA,SF,82.0,82.0,38.4,7.3,15.2,0.483,0.0,0.2,0.235,7.3,15.0,0.487,0.485,3.6,5.2,0.693,3.1,7.0,10.1,2.3,1.2,1.4,2.4,1.9,18.4
1995,24.0,PHI,NBA,SF,76.0,76.0,39.4,7.1,16.3,0.439,0.1,0.3,0.19,7.1,16.0,0.443,0.44,3.7,5.0,0.751,1.9,5.0,6.9,2.8,1.5,0.9,2.5,2.6,18.1
1996,25.0,PHI,NBA,SF,78.0,75.0,39.7,6.3,13.0,0.484,0.0,0.0,0.0,6.3,13.0,0.485,0.484,4.1,5.5,0.746,3.0,6.6,9.7,2.0,1.4,1.4,2.3,2.7,16.7
1997,26.0,PHI,NBA,SF,82.0,82.0,36.0,4.9,9.9,0.491,0.0,0.1,0.167,4.8,9.8,0.493,0.491,2.5,3.4,0.738,2.7,5.6,8.3,1.7,0.9,1.0,1.7,2.3,12.2
1998,27.0,TOT,NBA,PF,79.0,49.0,29.4,3.4,7.7,0.441,0.0,0.0,,3.4,7.7,0.441,0.441,2.5,3.5,0.722,2.5,5.0,7.5,1.1,1.1,0.9,1.5,2.5,9.3
1998,27.0,PHI,NBA,PF,48.0,18.0,26.9,2.9,6.9,0.426,0.0,0.0,,2.9,6.9,0.426,0.426,2.6,3.6,0.707,2.3,4.7,7.0,0.8,0.9,1.1,1.4,2.3,8.4
1998,27.0,GSW,NBA,PF,31.0,31.0,33.4,4.1,8.9,0.458,0.0,0.0,,4.1,8.9,0.458,0.458,2.5,3.3,0.748,2.9,5.5,8.3,1.6,1.4,0.7,1.6,2.8,10.7
1999,28.0,MIA,NBA,SF,49.0,3.0,21.2,2.9,5.4,0.534,0.0,0.0,,2.9,5.4,0.534,0.534,2.3,2.9,0.804,1.5,3.5,5.0,0.7,0.6,0.3,1.2,2.2,8.1
2001,30.0,CLE,NBA,PF,82.0,82.0,33.8,4.2,8.4,0.501,0.0,0.0,,4.2,8.4,0.501,0.501,2.8,3.5,0.79,2.7,7.0,9.7,1.3,1.0,1.3,1.4,2.1,11.3
2002,31.0,NYK,NBA,PF,56.0,41.0,30.9,3.4,8.1,0.418,0.0,0.0,,3.4,8.1,0.418,0.418,2.1,2.6,0.795,2.7,5.6,8.2,1.1,0.7,0.9,0.8,2.4,8.8
2003,32.0,NYK,NBA,PF,79.0,19.0,25.6,2.4,5.2,0.449,0.0,0.0,,2.4,5.2,0.449,0.449,1.9,2.5,0.768,2.7,4.9,7.6,0.9,0.9,0.5,0.8,2.2,6.6
2004,33.0,TOT,NBA,PF,52.0,1.0,16.7,2.0,4.1,0.493,0.0,0.0,0.0,2.0,4.0,0.495,0.493,1.0,1.4,0.736,1.4,2.5,3.9,0.6,0.6,0.3,0.7,1.4,5.0
2004,33.0,NYK,NBA,PF,15.0,1.0,14.4,1.2,2.7,0.45,0.0,0.0,,1.2,2.7,0.45,0.45,1.2,1.3,0.947,0.9,2.4,3.3,0.9,0.5,0.1,0.6,1.3,3.6
2004,33.0,HOU,NBA,PF,37.0,0.0,17.6,2.3,4.6,0.503,0.0,0.0,0.0,2.3,4.6,0.506,0.503,0.9,1.4,0.66,1.6,2.5,4.2,0.5,0.6,0.4,0.7,1.5,5.6
2005,34.0,HOU,NBA,PF,40.0,18.0,13.1,1.2,2.9,0.412,0.0,0.0,,1.2,2.9,0.412,0.412,0.7,0.9,0.829,0.9,2.2,3.1,0.4,0.2,0.2,0.4,1.9,3.1
