Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
1986,14,1098,LAL,Los Angeles Lakers,22.0,NBA,PF,9.0,106.0,4.7,0.52,0.0,0.53,3.6,13.9,9.0,0.0,0.5,1.6,16.0,9.8,,0.0,0.1,0.1,0.03,,-4.5,-0.6,-5.1,-0.1
1987,14,1098,LAL,Los Angeles Lakers,23.0,NBA,PF,18.0,505.0,15.4,0.62,0.0,0.67,13.3,17.7,15.7,2.7,0.9,0.9,9.2,15.1,,1.2,0.7,1.9,0.18,,1.3,-1.1,0.1,0.3
1988,14,1098,LAL,Los Angeles Lakers,24.0,NBA,PF,24.0,726.0,13.3,0.59,0.0,0.43,9.7,18.4,14.2,3.8,0.8,1.0,11.4,13.9,,1.1,0.7,1.8,0.12,,0.2,-0.6,-0.4,0.3
1989,14,1098,LAL,Los Angeles Lakers,25.0,NBA,PF,15.0,502.0,12.1,0.52,0.03,0.67,9.4,21.2,15.7,4.8,1.6,0.7,13.5,14.8,,0.4,0.6,1.0,0.1,,-0.6,-0.7,-1.3,0.1
1990,14,1098,LAL,Los Angeles Lakers,26.0,NBA,PF,9.0,252.0,17.1,0.57,0.0,0.4,16.7,21.3,19.1,5.3,1.0,1.0,13.1,18.7,,0.5,0.3,0.7,0.14,,2.0,-1.5,0.5,0.2
1991,14,1098,LAL,Los Angeles Lakers,27.0,NBA,PF,19.0,400.0,11.9,0.51,0.08,0.56,14.3,16.8,15.6,3.3,1.6,0.5,13.6,15.8,,0.3,0.4,0.7,0.08,,0.0,-0.6,-0.6,0.1
1992,14,1098,LAL,Los Angeles Lakers,28.0,NBA,PF,4.0,153.0,14.6,0.52,0.0,0.59,11.4,17.4,14.3,7.9,2.4,0.0,9.2,16.2,,0.2,0.1,0.3,0.08,,1.3,-1.2,0.2,0.1
1993,14,1098,LAL,Los Angeles Lakers,29.0,NBA,PF,5.0,220.0,13.0,0.48,0.12,0.5,11.9,25.0,17.9,8.2,1.7,0.9,14.9,11.9,,0.1,0.3,0.4,0.09,,-0.5,0.1,-0.4,0.1
1994,24,1098,PHO,Phoenix Suns,30.0,NBA,PF,10.0,350.0,16.0,0.57,0.2,0.75,8.7,18.8,13.4,5.2,1.4,0.4,6.0,14.4,,0.9,0.0,0.9,0.12,,1.9,-1.0,0.9,0.3
1995,24,1098,PHO,Phoenix Suns,31.0,NBA,SF,10.0,368.0,17.4,0.6,0.15,0.81,12.3,25.1,18.9,5.0,0.8,0.4,8.6,14.1,,1.1,0.3,1.3,0.17,,2.9,-0.7,2.2,0.4
1996,24,1098,PHO,Phoenix Suns,32.0,NBA,SF,4.0,87.0,8.6,0.46,0.18,0.47,7.2,17.3,11.8,3.2,0.6,0.0,8.9,11.4,,0.1,-0.1,0.0,-0.01,,-2.5,-2.0,-4.5,-0.1
2001,16,1098,MIA,Miami Heat,37.0,NBA,PF,3.0,21.0,6.9,0.44,0.0,0.33,5.9,17.3,11.6,16.7,2.6,0.0,22.5,10.2,,0.0,0.0,0.0,0.01,,-4.0,2.7,-1.2,0.0
