NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
33,Kareem Abdul-Jabbar,C,7-2,225,1947-04-16,US,10,UCLA
24,Ron Boone,SG,6-2,200,1946-09-06,US,11,Idaho State University
7,Marty Byrnes,SF,6-7,215,1956-04-30,US,1,Syracuse
7,Kenny Carr,PF,6-7,220,1955-08-15,US,2,NC State
9,Jim Chones,C,6-11,220,1949-11-30,US,7,Marquette
21,Michael Cooper,SG,6-5,170,1956-04-15,US,1,New Mexico
35,Don Ford,SF,6-9,215,1952-12-31,US,4,"New Mexico, UC Santa Barbara"
31,Spencer Haywood,PF,6-8,225,1949-04-22,US,10,Detroit Mercy
14,Brad Holland,SG,6-3,180,1956-12-06,US,R,UCLA
32,Magic Johnson,SG,6-9,215,1959-08-14,US,R,Michigan State
54,Mark Landsberger,C,6-8,215,1955-05-21,US,2,"Minnesota, Arizona State"
15,Butch Lee,PG,6-0,185,1956-12-05,PR,1,Marquette
25,Ollie Mack,SG,6-3,185,1957-06-06,US,R,East Carolina University
10,Norm Nixon,PG,6-2,170,1955-10-11,US,2,Duquesne
52,Jamaal Wilkes,SF,6-6,190,1953-05-02,US,5,UCLA
