Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2010,22.0,TOT,NBA,PF,47.0,0.0,13.3,2.1,4.3,0.493,0.0,0.0,0.0,2.1,4.2,0.497,0.493,1.0,1.4,0.676,1.6,2.1,3.7,0.4,0.3,0.4,0.6,2.0,5.2
2010,22.0,NYK,NBA,PF,24.0,0.0,10.5,1.7,3.8,0.446,0.0,0.1,0.0,1.7,3.8,0.456,0.446,0.6,0.9,0.714,1.3,1.2,2.5,0.3,0.4,0.4,0.5,1.5,4.0
2010,22.0,HOU,NBA,PF,23.0,0.0,16.2,2.5,4.7,0.532,0.0,0.0,,2.5,4.7,0.532,0.532,1.3,2.0,0.66,1.9,3.0,5.0,0.6,0.2,0.5,0.8,2.4,6.4
2011,23.0,HOU,NBA,C,72.0,11.0,15.6,2.4,4.9,0.491,0.0,0.0,0.0,2.4,4.9,0.494,0.491,0.8,1.2,0.706,1.8,2.5,4.3,0.4,0.2,0.7,0.9,2.2,5.6
2012,24.0,TOT,NBA,C,39.0,8.0,14.1,2.1,4.2,0.497,0.0,0.1,0.0,2.1,4.2,0.506,0.497,0.8,1.2,0.638,1.6,3.2,4.8,0.4,0.4,0.7,0.8,1.8,5.0
2012,24.0,HOU,NBA,C,32.0,7.0,14.7,2.1,4.2,0.504,0.0,0.1,0.0,2.1,4.1,0.515,0.504,0.8,1.2,0.641,1.5,3.4,4.8,0.4,0.3,0.7,0.8,1.9,5.0
2012,24.0,LAL,NBA,C,7.0,1.0,11.7,2.0,4.3,0.467,0.0,0.0,,2.0,4.3,0.467,0.467,0.7,1.1,0.625,2.0,2.4,4.4,0.3,0.7,0.9,1.0,1.6,4.7
2013,25.0,LAL,NBA,PF,29.0,1.0,15.8,2.7,5.3,0.497,0.0,0.1,0.0,2.7,5.3,0.503,0.497,1.4,2.1,0.656,2.8,2.9,5.7,0.4,0.3,0.7,0.9,1.9,6.7
2014,26.0,LAL,NBA,PF,72.0,32.0,20.8,4.0,7.2,0.549,0.0,0.0,0.0,4.0,7.2,0.55,0.549,1.7,2.5,0.685,2.7,4.7,7.4,0.8,0.4,0.9,1.0,2.4,9.7
2015,27.0,LAL,NBA,C,70.0,57.0,26.8,5.1,11.1,0.459,0.0,0.2,0.273,5.1,10.9,0.462,0.461,1.8,2.4,0.738,2.5,5.5,7.9,1.5,0.5,0.7,1.5,2.3,12.0
2016,28.0,IND,NBA,C,73.0,11.0,20.7,3.8,7.5,0.506,0.0,0.0,0.0,3.8,7.5,0.507,0.506,1.2,1.7,0.712,2.1,4.0,6.2,1.2,0.5,0.5,1.3,2.1,8.8
2017,29.0,MIN,NBA,C,7.0,0.0,6.7,0.7,1.9,0.385,0.0,0.0,,0.7,1.9,0.385,0.385,0.3,0.3,1.0,1.1,0.9,2.0,0.0,0.1,0.0,0.6,1.3,1.7
