Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1994,22.0,DEN,NBA,SF,79.0,14.0,17.8,3.0,6.9,0.439,0.4,1.2,0.38,2.6,5.7,0.45,0.471,1.6,2.4,0.672,1.1,1.7,2.9,1.3,0.8,0.6,1.7,2.5,8.1
1995,23.0,DEN,NBA,PF,80.0,77.0,26.8,4.7,9.6,0.488,0.6,1.9,0.338,4.1,7.8,0.523,0.52,2.2,3.4,0.651,1.7,3.2,4.8,2.0,1.2,0.6,2.2,3.5,12.2
1996,24.0,LAC,NBA,SF,67.0,51.0,29.1,4.6,9.6,0.477,0.7,2.3,0.32,3.8,7.3,0.527,0.516,1.7,2.7,0.628,1.7,2.6,4.3,2.5,1.1,0.5,2.1,3.2,11.6
1997,25.0,LAC,NBA,SF,81.0,62.0,30.6,5.0,10.9,0.462,0.8,2.2,0.361,4.2,8.7,0.487,0.498,2.4,3.6,0.663,1.7,3.4,5.1,2.7,1.1,0.8,2.7,3.4,13.2
1998,26.0,LAC,NBA,SF,76.0,70.0,32.9,5.6,12.3,0.456,0.9,2.8,0.34,4.7,9.5,0.49,0.494,3.0,4.3,0.686,2.0,3.5,5.6,2.7,1.2,0.5,2.5,3.2,15.1
1999,27.0,LAC,NBA,SF,47.0,7.0,20.6,2.8,6.3,0.441,0.4,1.3,0.286,2.4,5.0,0.483,0.471,1.4,2.1,0.673,1.4,2.4,3.8,1.6,1.0,0.5,1.4,3.0,7.4
2001,29.0,PHO,NBA,SF,82.0,3.0,26.6,4.6,10.7,0.43,0.7,2.3,0.296,3.9,8.4,0.467,0.462,2.3,3.0,0.761,1.1,3.2,4.4,2.2,1.2,0.6,1.9,3.3,12.2
2002,30.0,TOT,NBA,SF,77.0,8.0,24.4,4.6,9.8,0.471,1.1,3.1,0.374,3.5,6.8,0.514,0.529,1.5,1.9,0.785,1.7,2.8,4.5,1.5,0.9,0.4,1.4,2.9,11.9
2002,30.0,PHO,NBA,SF,50.0,7.0,25.1,5.0,10.7,0.466,1.0,2.8,0.35,4.0,7.9,0.508,0.512,1.6,2.0,0.828,1.9,2.9,4.8,1.4,1.0,0.3,1.3,3.0,12.6
2002,30.0,BOS,NBA,SF,27.0,1.0,23.2,4.0,8.2,0.482,1.4,3.5,0.411,2.5,4.7,0.535,0.57,1.3,1.9,0.7,1.3,2.7,4.0,1.5,0.6,0.4,1.6,2.9,10.7
2003,31.0,NJN,NBA,PF,68.0,0.0,19.2,2.7,6.7,0.402,0.6,1.9,0.333,2.0,4.8,0.43,0.451,1.0,1.3,0.756,0.9,3.0,3.9,1.6,0.7,0.5,1.3,2.8,7.0
2004,32.0,NJN,NBA,PF,69.0,15.0,20.4,3.0,7.3,0.41,0.7,2.2,0.329,2.3,5.1,0.445,0.459,1.1,1.4,0.765,1.4,3.0,4.4,2.0,0.9,0.4,1.4,2.7,7.8
2005,33.0,TOT,NBA,"PF,SF",58.0,33.0,23.6,3.0,7.8,0.382,0.8,2.9,0.286,2.1,4.9,0.44,0.436,0.9,1.2,0.743,1.1,3.2,4.2,1.5,0.7,0.3,1.5,3.0,7.7
2005,33.0,NOH,NBA,SF,30.0,26.0,29.4,3.6,9.6,0.377,0.8,3.1,0.272,2.8,6.6,0.426,0.42,1.1,1.4,0.762,0.9,3.8,4.7,2.0,0.6,0.4,2.2,3.4,9.2
2005,33.0,PHI,NBA,PF,28.0,7.0,17.3,2.3,5.8,0.391,0.8,2.7,0.303,1.4,3.0,0.471,0.463,0.7,1.0,0.714,1.2,2.5,3.7,0.9,0.8,0.3,0.7,2.5,6.0
