Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2010,21.0,GSW,NBA,PG,80,77,2896,6.6,14.2,0.462,2.1,4.7,0.437,4.5,9.5,0.474,2.2,2.5,0.885,0.6,3.8,4.4,5.9,1.9,0.2,3.0,3.1,17.4
2011,22.0,GSW,NBA,PG,74,74,2489,7.3,15.2,0.48,2.2,4.9,0.442,5.1,10.3,0.498,3.1,3.3,0.934,0.8,3.4,4.1,6.2,1.6,0.3,3.3,3.4,19.9
2012,23.0,GSW,NBA,PG,26,23,732,7.1,14.6,0.49,2.7,6.0,0.455,4.4,8.6,0.514,1.9,2.3,0.809,0.7,3.6,4.3,6.8,1.9,0.4,3.2,3.0,18.8
2013,24.0,GSW,NBA,PG,78,78,2983,7.6,16.8,0.451,3.3,7.2,0.453,4.3,9.5,0.449,3.2,3.5,0.9,0.7,3.1,3.8,6.5,1.5,0.1,2.9,2.4,21.6
2014,25.0,GSW,NBA,PG,78,78,2846,8.2,17.5,0.471,3.3,7.8,0.424,4.9,9.7,0.509,3.9,4.4,0.885,0.6,3.6,4.2,8.4,1.6,0.2,3.7,2.5,23.7
2015,26.0,GSW,NBA,PG,80,80,2613,9.0,18.5,0.487,3.9,8.9,0.443,5.1,9.6,0.528,4.2,4.6,0.914,0.8,3.9,4.7,8.5,2.2,0.2,3.4,2.2,26.2
2016,27.0,GSW,NBA,PG,79,79,2700,10.7,21.3,0.504,5.4,11.8,0.454,5.4,9.5,0.566,4.8,5.3,0.908,0.9,4.8,5.7,7.0,2.3,0.2,3.5,2.1,31.7
2017,28.0,GSW,NBA,PG,79,79,2638,9.2,19.7,0.468,4.4,10.8,0.411,4.8,8.9,0.537,4.4,4.9,0.898,0.8,4.0,4.8,7.2,1.9,0.2,3.3,2.5,27.3
2018,29.0,GSW,NBA,PG,51,51,1631,9.4,19.1,0.495,4.7,11.1,0.423,4.8,8.0,0.595,6.1,6.7,0.921,0.8,5.0,5.8,6.8,1.8,0.2,3.4,2.5,29.7
2019,30.0,GSW,NBA,PG,69,69,2331,9.8,20.7,0.472,5.5,12.5,0.437,4.3,8.2,0.525,4.1,4.4,0.916,0.7,5.0,5.7,5.6,1.4,0.4,3.0,2.6,29.1
2020,31.0,GSW,NBA,PG,5,5,139,8.5,21.2,0.402,3.1,12.7,0.245,5.4,8.5,0.636,6.7,6.7,1.0,1.0,5.7,6.7,8.5,1.3,0.5,4.1,2.8,26.9
2021,32.0,GSW,NBA,PG,11,11,377,9.2,21.3,0.43,4.3,11.6,0.369,4.9,9.6,0.505,6.6,7.1,0.932,0.9,4.5,5.3,6.7,1.2,0.2,3.2,2.4,29.2
