Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1988,27.0,73,SAS,San Antonio Spurs,23.0,NBA,PF,82,45,24.2,4.6,9.2,.501,0.0,0.1,.200,4.6,9.2,.503,.502,2.4,4.0,.604,2.0,4.3,6.3,1.0,0.7,1.5,1.7,2.8,11.7
1989,27.0,73,SAS,San Antonio Spurs,24.0,NBA,PF,82,56,29.3,5.6,11.1,.503,0.0,0.0,.000,5.6,11.1,.505,.503,2.5,4.9,.514,3.1,5.1,8.2,0.7,1.2,1.3,2.2,2.7,13.7
1990,17.0,73,MIL,Milwaukee Bucks,25.0,NBA,PF,60,28,21.5,3.7,7.2,.507,0.0,0.0,,3.7,7.2,.507,.507,1.5,2.8,.535,1.9,4.4,6.2,0.4,0.5,0.9,1.3,2.9,8.8
1991,31.0,73,TOT,Total After Trade,26.0,NBA,PF,68,2,13.6,1.7,4.0,.430,0.0,0.0,.000,1.7,4.0,.431,.430,0.9,1.7,.522,1.4,3.3,4.7,0.2,0.5,0.7,1.2,2.1,4.3
1991,17.0,73,MIL,Milwaukee Bucks,26.0,NBA,PF,26,0,9.5,1.0,2.8,.370,0.0,0.0,.000,1.0,2.8,.375,.370,0.6,1.1,.571,1.0,1.9,2.9,0.1,0.3,0.3,0.8,1.1,2.7
1991,3.0,73,NJN,New Jersey Nets,26.0,NBA,PF,1,0,18.0,4.0,4.0,1.000,0.0,0.0,,4.0,4.0,1.000,1.000,0.0,0.0,,4.0,2.0,6.0,1.0,2.0,0.0,1.0,4.0,8.0
1991,8.0,73,DEN,Denver Nuggets,26.0,NBA,PF,41,2,16.1,2.1,4.7,.440,0.0,0.0,,2.1,4.7,.440,.440,1.1,2.1,.506,1.6,4.1,5.8,0.3,0.6,0.9,1.5,2.6,5.2
1992,8.0,73,DEN,Denver Nuggets,27.0,NBA,PF,82,82,34.1,4.7,10.4,.456,0.0,0.0,.000,4.7,10.4,.458,.456,2.0,3.3,.623,4.1,7.4,11.5,1.0,1.1,0.8,2.5,3.2,11.5
1994,9.0,73,DET,Detroit Pistons,29.0,NBA,PF,77,47,21.1,2.6,4.8,.543,0.0,0.0,.333,2.6,4.8,.545,.545,1.1,2.0,.571,2.4,5.0,7.4,0.7,0.7,0.9,1.2,3.0,6.4
1995,1.0,73,ATL,Atlanta Hawks,30.0,NBA,PF,51,0,12.2,1.1,2.0,.548,0.0,0.0,,1.1,2.0,.548,.548,0.7,1.4,.479,1.2,2.5,3.7,0.3,0.5,0.6,0.6,2.0,2.9
1996,27.0,73,SAS,San Antonio Spurs,31.0,NBA,PF,46,7,7.5,0.5,1.0,.511,0.0,0.0,.000,0.5,1.0,.522,.511,0.1,0.5,.240,0.6,1.5,2.2,0.2,0.2,0.5,0.5,1.4,1.2
1997,27.0,73,SAS,San Antonio Spurs,32.0,NBA,C,82,48,20.2,1.6,3.2,.496,0.0,0.0,.000,1.6,3.2,.498,.496,0.8,1.1,.667,1.9,3.5,5.5,0.4,0.8,0.8,0.9,2.7,3.9
1998,1.0,73,ATL,Atlanta Hawks,33.0,NBA,C,50,0,8.0,0.7,1.6,.444,0.0,0.1,.000,0.7,1.5,.474,.444,0.3,0.8,.390,0.8,1.6,2.4,0.3,0.4,0.2,0.3,1.7,1.8
