Season,Team ID,Player ID,Team ABV,Team,Number,Player,Pos,Height,Weight,Birth Date,Nationality,Experience,College
2011,21,33,OKC,Oklahoma City Thunder,45,Cole Aldrich,C,6-11,250,1988-10-31,US,R,Kansas
2011,21,579,OKC,Oklahoma City Thunder,4,Nick Collison,C,6-10,255,1980-10-26,US,6,Kansas
2011,21,592,OKC,Oklahoma City Thunder,14,Daequan Cook,SG,6-5,205,1987-04-28,US,3,Ohio State
2011,21,808,OKC,Oklahoma City Thunder,35,Kevin Durant,SF,6-10,240,1988-09-29,US,3,Texas
2011,21,1108,OKC,Oklahoma City Thunder,22,Jeff Green,PF,6-8,235,1986-08-28,US,3,Georgetown
2011,21,1185,OKC,Oklahoma City Thunder,13,James Harden,SG,6-5,220,1989-08-26,US,1,Arizona State
2011,21,1378,OKC,Oklahoma City Thunder,9,Serge Ibaka,PF,6-10,235,1989-09-18,CG,1,
2011,21,1394,OKC,Oklahoma City Thunder,7,Royal Ivey,SG,6-3,200,1981-12-20,US,6,Texas
2011,21,1660,OKC,Oklahoma City Thunder,12,Nenad Krstic,C,7-0,240,1983-07-25,RS,6,
2011,21,1890,OKC,Oklahoma City Thunder,6,Eric Maynor,PG,6-3,175,1987-06-11,US,1,VCU
2011,21,2025,OKC,Oklahoma City Thunder,8,Nazr Mohammed,C,6-10,221,1977-09-05,US,12,Kentucky
2011,21,2079,OKC,Oklahoma City Thunder,23,Byron Mullens,PF,7-0,275,1989-02-14,US,1,Ohio State
2011,21,2289,OKC,Oklahoma City Thunder,5,Kendrick Perkins,C,6-10,270,1984-11-10,US,7,
2011,21,2300,OKC,Oklahoma City Thunder,42,Morris Peterson,SG,6-7,218,1977-08-26,US,10,Michigan State
2011,21,2491,OKC,Oklahoma City Thunder,3,Nate Robinson,PG,5-9,180,1984-05-31,US,5,Washington
2011,21,2597,OKC,Oklahoma City Thunder,2,Thabo Sefolosha,SG,6-6,215,1984-05-02,CH,4,
2011,21,3084,OKC,Oklahoma City Thunder,0,Russell Westbrook,PG,6-3,200,1988-11-12,US,2,UCLA
2011,21,3093,OKC,Oklahoma City Thunder,3,D.J. White,PF,6-9,251,1986-08-31,US,2,Indiana
