Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
1990,5,1624,CHI,Chicago Bulls,23.0,NBA,PF,82.0,2.0,1777.0,7.5,14.8,0.5,0.0,0.0,0.0,7.5,14.8,0.5,5.4,7.5,0.73,4.7,6.0,10.7,2.4,1.1,1.6,3.3,6.0,20.3,,111.0,110.0
1991,5,1624,CHI,Chicago Bulls,24.0,NBA,PF,76.0,6.0,1198.0,6.5,14.0,0.47,0.0,0.1,0.0,6.5,13.9,0.47,4.5,6.4,0.7,3.0,5.7,8.7,2.7,1.0,1.8,3.8,5.6,17.6,,100.0,107.0
1992,5,1624,CHI,Chicago Bulls,25.0,NBA,PF,79.0,12.0,1268.0,8.6,17.0,0.51,0.1,0.2,0.4,8.5,16.8,0.51,4.8,6.3,0.75,3.5,4.7,8.2,3.1,0.8,1.0,3.0,5.2,22.1,,112.0,108.0
1993,5,1624,CHI,Chicago Bulls,26.0,NBA,C,76.0,3.0,1059.0,7.8,16.7,0.47,0.1,0.3,0.33,7.7,16.4,0.47,4.2,6.0,0.7,5.1,5.0,10.1,3.5,1.3,1.0,3.4,6.3,20.0,,107.0,108.0
1994,31,1624,TOT,Total After Trade,27.0,NBA,C,49.0,30.0,1053.0,7.1,16.7,0.43,0.0,0.1,0.0,7.1,16.6,0.43,4.5,6.6,0.68,4.4,7.4,11.8,2.8,1.5,2.1,4.1,5.9,18.8,,95.0,105.0
1994,5,1624,CHI,Chicago Bulls,27.0,NBA,C,31.0,15.0,537.0,6.6,16.6,0.4,0.0,0.2,0.0,6.6,16.4,0.4,3.5,5.2,0.68,4.9,8.0,12.8,3.8,1.8,1.2,4.2,6.2,16.7,,92.0,102.0
1994,18,1624,MIN,Minnesota Timberwolves,27.0,NBA,C,18.0,15.0,516.0,7.7,16.7,0.46,0.0,0.0,,7.7,16.7,0.46,5.6,8.2,0.69,3.9,6.8,10.7,1.9,1.3,2.9,3.9,5.6,20.9,,98.0,108.0
1995,18,1624,MIN,Minnesota Timberwolves,28.0,NBA,PF,50.0,10.0,792.0,6.6,14.1,0.47,0.0,0.1,0.0,6.6,14.0,0.47,4.5,6.8,0.67,3.6,7.4,10.9,1.7,1.6,1.3,4.2,8.4,17.6,,93.0,111.0
1996,16,1624,MIA,Miami Heat,29.0,NBA,PF,15.0,0.0,156.0,5.7,12.2,0.47,0.0,0.0,,5.7,12.2,0.47,1.4,2.7,0.5,3.0,4.7,7.8,0.7,2.4,0.7,6.1,13.2,12.8,,73.0,103.0
1997,31,1624,TOT,Total After Trade,30.0,NBA,C,11.0,0.0,103.0,5.6,11.2,0.5,0.0,0.0,,5.6,11.2,0.5,1.0,3.6,0.29,5.6,8.2,13.8,0.5,1.0,0.5,3.1,7.2,12.3,,90.0,110.0
1997,2,1624,BOS,Boston Celtics,30.0,NBA,C,5.0,0.0,33.0,7.6,10.6,0.71,0.0,0.0,,7.6,10.6,0.71,3.0,4.6,0.67,1.5,12.2,13.7,1.5,0.0,1.5,1.5,4.6,18.2,,132.0,111.0
1997,7,1624,DAL,Dallas Mavericks,30.0,NBA,C,6.0,0.0,70.0,4.6,11.6,0.4,0.0,0.0,,4.6,11.6,0.4,0.0,3.1,0.0,7.7,6.2,13.9,0.0,1.5,0.0,3.9,8.5,9.2,,75.0,110.0
