Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2001,18,2798,MIN,Minnesota Timberwolves,Wally Szczerbiak,"March 5, 1977",23.0,NBA,SF,82.0,82.0,2856.0,5.9,11.6,0.51,0.3,1.0,0.34,5.6,10.6,0.53,2.3,2.6,0.87,1.7,4.0,5.6,3.3,0.7,0.4,1.7,2.8,14.4
2002,18,2798,MIN,Minnesota Timberwolves,Wally Szczerbiak,"March 5, 1977",24.0,NBA,SF,82.0,82.0,3117.0,7.0,13.9,0.51,1.0,2.2,0.46,6.0,11.7,0.52,2.6,3.1,0.83,1.4,3.1,4.5,3.0,0.8,0.2,2.1,2.2,17.7
2003,18,2798,MIN,Minnesota Timberwolves,Wally Szczerbiak,"March 5, 1977",25.0,NBA,SF,52.0,42.0,1836.0,6.9,14.3,0.48,1.2,2.8,0.42,5.7,11.5,0.5,2.9,3.4,0.87,1.0,3.7,4.7,2.7,0.9,0.4,1.7,2.4,17.9
2004,18,2798,MIN,Minnesota Timberwolves,Wally Szczerbiak,"March 5, 1977",26.0,NBA,SF,28.0,0.0,622.0,6.1,13.7,0.45,1.2,2.7,0.44,5.0,11.0,0.45,3.1,3.7,0.83,1.4,3.7,5.1,1.9,0.7,0.1,1.6,2.4,16.5
2005,18,2798,MIN,Minnesota Timberwolves,Wally Szczerbiak,"March 5, 1977",27.0,NBA,SF,81.0,37.0,2558.0,6.5,12.9,0.51,0.9,2.4,0.37,5.7,10.6,0.54,3.7,4.3,0.86,1.2,3.1,4.3,2.7,0.6,0.2,1.9,2.5,17.6
2006,31,2798,TOT,Total After Trade,Wally Szczerbiak,"March 5, 1977",28.0,NBA,SF,72.0,71.0,2729.0,6.5,13.3,0.49,1.3,3.4,0.4,5.2,10.0,0.52,3.7,4.1,0.9,1.0,3.1,4.1,2.8,0.5,0.3,1.8,2.0,18.0
2006,18,2798,MIN,Minnesota Timberwolves,Wally Szczerbiak,"March 5, 1977",28.0,NBA,SF,40.0,40.0,1555.0,6.8,13.7,0.5,1.3,3.3,0.41,5.4,10.3,0.52,3.8,4.2,0.9,0.8,3.6,4.4,2.6,0.5,0.3,2.0,2.1,18.6
2006,2,2798,BOS,Boston Celtics,Wally Szczerbiak,"March 5, 1977",28.0,NBA,SF,32.0,31.0,1174.0,6.2,12.9,0.48,1.3,3.4,0.39,4.8,9.5,0.51,3.5,3.9,0.9,1.3,2.5,3.8,3.1,0.6,0.1,1.5,1.8,17.2
2007,2,2798,BOS,Boston Celtics,Wally Szczerbiak,"March 5, 1977",29.0,NBA,SF,32.0,19.0,900.0,6.4,15.5,0.42,1.8,4.2,0.42,4.7,11.3,0.42,4.5,5.0,0.9,0.6,3.3,3.9,2.2,0.7,0.1,2.2,2.6,19.2
2008,31,2798,TOT,Total After Trade,Wally Szczerbiak,"March 5, 1977",30.0,NBA,SF,75.0,2.0,1736.0,6.4,15.0,0.43,1.9,4.5,0.41,4.6,10.5,0.44,3.1,3.6,0.85,0.7,3.8,4.5,2.2,0.5,0.2,1.6,2.1,17.9
2008,21,2798,SEA,Seattle Supersonics,Wally Szczerbiak,"March 5, 1977",30.0,NBA,SF,50.0,1.0,1180.0,7.2,15.7,0.46,2.2,5.1,0.43,5.0,10.6,0.48,3.4,4.1,0.84,0.5,3.7,4.1,2.1,0.4,0.2,1.7,2.0,20.0
2008,6,2798,CLE,Cleveland Cavaliers,Wally Szczerbiak,"March 5, 1977",30.0,NBA,SF,25.0,1.0,556.0,4.9,13.5,0.36,1.2,3.4,0.36,3.6,10.2,0.36,2.3,2.7,0.88,1.2,4.1,5.2,2.3,0.6,0.5,1.3,2.3,13.3
2009,6,2798,CLE,Cleveland Cavaliers,Wally Szczerbiak,"March 5, 1977",31.0,NBA,SF,74.0,5.0,1527.0,4.2,9.4,0.45,1.6,4.0,0.41,2.6,5.4,0.48,2.1,2.5,0.85,1.0,4.5,5.5,1.9,0.7,0.2,1.3,3.1,12.2
