Season,Age,Tm,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
1982,24.0,KCK,NBA,C,78.0,1741.0,17.6,0.635,0.0,0.512,9.5,20.3,14.8,7.7,1.1,3.0,20.0,23.1,,2.2,2.2,4.4,0.121,,-1.1,0.5,-0.7,0.6
1983,25.0,KCK,NBA,C,79.0,1544.0,18.1,0.629,0.0,0.545,9.8,18.1,13.9,8.8,1.2,3.0,19.6,22.8,,2.5,1.9,4.4,0.137,,-0.2,0.7,0.5,1.0
1984,26.0,TOT,NBA,C,81.0,1487.0,14.8,0.577,0.0,0.531,12.3,20.0,16.1,8.1,1.2,2.6,19.8,22.7,,0.5,1.9,2.4,0.079,,-2.6,0.1,-2.5,-0.2
1984,26.0,KCK,NBA,C,50.0,893.0,15.2,0.57,0.0,0.518,11.8,20.6,16.1,10.4,1.1,3.0,20.0,23.6,,0.2,1.2,1.4,0.075,,-2.6,0.5,-2.0,0.0
1984,26.0,CHI,NBA,C,31.0,594.0,14.2,0.588,0.0,0.556,13.0,19.2,16.1,4.8,1.2,2.0,19.3,21.3,,0.3,0.7,1.0,0.084,,-2.7,-0.5,-3.2,-0.2
1985,27.0,CHI,NBA,C,74.0,1659.0,14.1,0.593,0.006,0.488,10.5,19.8,15.3,5.5,1.1,2.1,19.4,19.6,,1.4,1.7,3.1,0.09,,-1.8,-0.4,-2.1,-0.1
1986,28.0,SAS,NBA,C,71.0,1828.0,16.8,0.667,0.0,0.651,9.2,19.4,14.4,7.3,1.1,2.0,20.6,20.4,,3.0,1.9,4.9,0.128,,-0.5,0.1,-0.4,0.7
1987,29.0,POR,NBA,C,79.0,2345.0,15.1,0.602,0.0,0.551,9.5,17.4,13.5,9.3,1.0,1.8,20.0,23.1,,2.1,2.4,4.4,0.091,,-1.0,-0.4,-1.4,0.3
1988,30.0,POR,NBA,C,43.0,1050.0,14.9,0.554,0.002,0.51,8.6,16.3,12.5,8.0,0.8,1.7,17.0,27.0,,0.2,1.1,1.3,0.058,,-1.7,-1.4,-3.1,-0.3
1989,31.0,POR,NBA,C,72.0,1477.0,12.4,0.536,0.0,0.434,9.6,17.0,13.2,9.7,0.6,1.7,17.2,21.2,,0.5,1.3,1.7,0.056,,-2.6,-1.0,-3.6,-0.6
1990,32.0,TOT,NBA,C,25.0,259.0,9.6,0.545,0.0,0.38,8.3,16.1,12.0,9.7,0.6,1.2,22.4,22.4,,-0.1,0.2,0.0,0.006,,-4.7,-0.7,-5.3,-0.2
1990,32.0,MIN,NBA,C,4.0,17.0,-21.8,0.0,0.0,0.0,0.0,22.6,10.6,7.6,0.0,0.0,75.0,20.7,,-0.2,0.0,-0.2,-0.587,,-26.1,-3.7,-29.7,-0.1
1990,32.0,SEA,NBA,C,21.0,242.0,11.8,0.555,0.0,0.389,8.9,15.6,12.1,9.8,0.6,1.3,19.2,22.5,,0.1,0.2,0.2,0.047,,-3.2,-0.5,-3.6,-0.1
1991,33.0,GSW,NBA,C,24.0,228.0,9.6,0.568,0.0,0.587,8.7,18.8,13.8,9.9,0.8,1.0,24.0,18.3,,0.0,0.2,0.2,0.034,,-3.9,-0.6,-4.5,-0.1
