Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2007,23.0,BOS,NBA,C,63.0,2.0,720.0,3.9,8.8,0.446,0.0,0.1,0.0,3.9,8.7,0.451,5.3,7.2,0.736,4.8,5.9,10.7,0.5,0.7,1.1,2.3,5.2,13.2
2008,24.0,BOS,NBA,C,56.0,5.0,809.0,6.9,12.0,0.572,0.0,0.0,0.0,6.9,11.9,0.575,6.1,8.6,0.71,4.2,5.9,10.1,0.7,0.7,0.7,1.9,5.7,19.8
2009,25.0,BOS,NBA,PF,70.0,7.0,1227.0,5.2,9.9,0.524,0.0,0.0,,5.2,9.9,0.524,5.4,7.8,0.689,4.3,5.9,10.1,1.3,0.7,1.1,2.2,5.6,15.8
2010,26.0,CLE,NBA,SF,20.0,2.0,236.0,3.2,7.5,0.429,0.0,0.0,,3.2,7.5,0.429,5.6,9.6,0.587,2.9,6.4,9.3,0.0,0.9,0.3,1.7,5.5,12.1
2011,27.0,TOT,NBA,"C,PF",30.0,3.0,328.0,6.5,13.1,0.496,0.0,0.2,0.0,6.5,12.8,0.504,4.4,7.9,0.556,2.6,4.3,6.9,0.8,1.1,0.4,1.3,4.8,17.3
2011,27.0,CLE,NBA,PF,14.0,3.0,187.0,5.6,11.4,0.492,0.0,0.0,,5.6,11.4,0.492,2.3,5.0,0.462,3.1,4.2,7.3,0.4,1.3,0.6,1.0,3.9,13.5
2011,27.0,MEM,NBA,C,16.0,0.0,141.0,7.7,15.3,0.5,0.0,0.5,0.0,7.7,14.8,0.517,7.1,11.7,0.609,2.0,4.3,6.4,1.3,0.8,0.3,1.8,6.1,22.5
