SEASON,TEAM ID,TEAM,PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
2008,24,PHO,Raja Bell,31,5,5,215,5.1,8.9,0.57,3.1,4.8,0.65,1.9,4.1,0.47,3.1,3.9,0.81,1.4,5.3,6.7,2.7,0.5,0.2,1.2,4.6,16.4,,145.0,110
2008,24,PHO,Amar'e Stoudemire,25,5,5,204,12.2,25.2,0.48,0.3,1.0,0.25,11.9,24.1,0.5,4.8,7.6,0.63,3.8,7.6,11.4,0.5,1.8,3.0,3.6,4.8,29.5,,99.0,103
2008,24,PHO,Steve Nash,33,5,5,183,9.1,19.8,0.46,1.7,5.7,0.3,7.4,14.2,0.52,3.1,3.4,0.92,0.3,3.7,4.0,11.0,0.6,0.3,3.4,2.8,22.9,,109.0,111
2008,24,PHO,Boris Diaw,25,5,2,178,10.2,18.6,0.55,0.0,2.0,0.0,10.2,16.6,0.61,0.9,1.7,0.5,2.0,6.1,8.2,6.7,0.9,1.2,3.2,6.4,21.3,,107.0,107
2008,24,PHO,Shaquille O'Neal,35,5,5,150,7.6,17.3,0.44,0.0,0.0,,7.6,17.3,0.44,11.1,22.1,0.5,4.5,11.4,15.9,1.7,1.7,4.5,3.1,7.3,26.3,,99.0,99
2008,24,PHO,Leandro Barbosa,25,5,1,143,6.9,19.9,0.34,1.4,6.5,0.22,5.4,13.4,0.4,3.6,4.0,0.91,0.7,6.5,7.2,3.3,1.1,0.0,1.4,3.6,18.8,,93.0,108
2008,24,PHO,Gordan Giriček,30,5,0,80,3.9,11.7,0.33,0.6,2.6,0.25,3.2,9.1,0.36,2.6,2.6,1.0,0.0,4.5,4.5,1.3,1.3,0.0,1.9,1.9,11.0,,82.0,109
2008,24,PHO,Grant Hill,35,3,2,68,3.8,8.4,0.46,0.0,0.0,,3.8,8.4,0.46,0.8,0.8,1.0,2.3,9.9,12.2,2.3,1.5,0.8,0.0,2.3,8.4,,118.0,105
2008,24,PHO,Brian Skinner,31,4,0,21,4.9,9.9,0.5,0.0,0.0,,4.9,9.9,0.5,9.9,19.7,0.5,0.0,7.4,7.4,0.0,0.0,7.4,0.0,9.9,19.7,,112.0,101
2008,24,PHO,D.J. Strawberry,22,1,0,5,0.0,41.5,0.0,0.0,10.4,0.0,0.0,31.1,0.0,0.0,0.0,,0.0,10.4,10.4,0.0,0.0,0.0,0.0,10.4,0.0,,0.0,108
2008,24,PHO,Sean Marks,32,1,0,3,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,114
2008,24,PHO,Eric Piatkowski,37,1,0,2,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.9,0.0,,,113
