PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Pau Gasol,30.0,82,82.0,3037,593,1120,0.529,1,3,0.33299999999999996,592,1117,0.53,0.53,354,430,0.823,268,568,836,273,48,130,142,203,1541
Kobe Bryant,32.0,82,82.0,2779,740,1639,0.451,115,356,0.32299999999999995,625,1283,0.48700000000000004,0.48700000000000004,483,583,0.828,83,336,419,388,99,12,243,172,2078
Lamar Odom,31.0,82,35.0,2639,473,893,0.53,68,178,0.382,405,715,0.5660000000000001,0.568,166,246,0.675,175,535,710,249,47,61,139,200,1180
Metta World Peace,31.0,82,82.0,2410,261,658,0.397,83,233,0.35600000000000004,178,425,0.419,0.46,92,136,0.6759999999999999,100,167,267,175,124,36,90,181,697
Derek Fisher,36.0,82,82.0,2297,206,529,0.389,63,159,0.396,143,370,0.386,0.449,83,103,0.8059999999999999,14,138,152,224,99,8,70,192,558
Steve Blake,30.0,79,0.0,1581,110,306,0.359,73,193,0.37799999999999995,37,113,0.327,0.479,26,30,0.867,19,137,156,170,40,3,73,99,319
Shannon Brown,25.0,82,0.0,1568,273,643,0.425,74,212,0.349,199,431,0.462,0.48200000000000004,92,101,0.9109999999999999,35,122,157,96,67,16,75,124,712
Andrew Bynum,23.0,54,47.0,1500,237,413,0.574,0,0,,237,413,0.574,0.574,138,209,0.66,170,338,508,73,19,106,74,140,612
Matt Barnes,30.0,53,0.0,1020,131,279,0.47,34,107,0.318,97,172,0.564,0.53,60,77,0.779,73,155,228,71,39,22,58,127,356
Luke Walton,30.0,54,0.0,484,38,116,0.32799999999999996,8,34,0.235,30,82,0.366,0.36200000000000004,7,10,0.7,9,58,67,62,9,4,31,38,91
Derrick Caracter,22.0,41,0.0,215,32,66,0.485,0,0,,32,66,0.485,0.485,17,23,0.7390000000000001,19,24,43,7,4,10,19,47,81
Devin Ebanks,21.0,20,0.0,118,21,51,0.41200000000000003,2,5,0.4,19,46,0.413,0.431,18,23,0.7829999999999999,15,12,27,2,4,5,6,7,62
Theo Ratliff,37.0,10,0.0,71,1,6,0.16699999999999998,0,0,,1,6,0.16699999999999998,0.16699999999999998,0,2,0.0,6,7,13,3,2,5,3,7,2
Sasha Vujačić,26.0,11,0.0,54,8,23,0.348,3,7,0.429,5,16,0.313,0.413,1,2,0.5,1,3,4,5,1,0,5,7,20
Joe Smith,35.0,12,0.0,44,2,12,0.16699999999999998,0,0,,2,12,0.16699999999999998,0.16699999999999998,2,2,1.0,2,16,18,3,0,4,3,10,6
Trey Johnson,26.0,1,0.0,13,2,3,0.667,0,0,,2,3,0.667,0.667,2,2,1.0,0,0,0,0,0,0,0,1,6
Team Totals,,82,,19830,3128,6757,0.46299999999999997,524,1487,0.35200000000000004,2604,5270,0.494,0.502,1541,1979,0.779,989,2616,3605,1801,602,422,1073,1555,8321
