Season,Age,Tm,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
2010,20.0,OKC,NBA,SG,76.0,1738.0,14.0,0.551,0.429,0.415,3.2,12.7,8.1,12.3,2.4,0.9,13.4,20.4,,2.0,2.5,4.5,0.124,,-0.7,1.2,0.5,1.1
2011,21.0,OKC,NBA,SG,82.0,2189.0,16.4,0.598,0.474,0.501,2.3,11.0,6.8,12.8,2.2,0.8,11.3,19.5,,5.0,2.1,7.1,0.156,,1.3,0.6,1.9,2.2
2012,22.0,OKC,NBA,SG,62.0,1946.0,21.1,0.66,0.464,0.587,1.9,12.2,7.4,19.3,1.6,0.6,14.8,21.6,,7.5,1.8,9.3,0.23,,4.1,0.2,4.3,3.1
2013,23.0,HOU,NBA,SG,78.0,2985.0,23.0,0.6,0.364,0.592,2.4,11.9,7.2,25.7,2.4,1.0,14.9,29.0,,9.8,3.0,12.8,0.206,,5.2,0.5,5.6,5.8
2014,24.0,HOU,NBA,SG,73.0,2777.0,23.5,0.618,0.401,0.552,2.6,10.7,6.9,27.3,2.1,0.8,15.0,27.8,,10.1,2.7,12.8,0.221,,5.4,0.2,5.6,5.3
2015,25.0,HOU,NBA,SG,81.0,2981.0,26.7,0.605,0.378,0.561,2.8,14.2,8.5,34.6,2.6,1.6,14.9,31.3,,12.2,4.2,16.4,0.265,,7.0,1.8,8.8,8.1
2016,26.0,HOU,NBA,SG,82.0,3125.0,25.3,0.598,0.406,0.518,2.2,15.6,8.8,35.4,2.2,1.4,15.9,32.5,,10.7,2.6,13.3,0.204,,6.4,0.2,6.6,6.8
2017,27.0,HOU,NBA,PG,81.0,2947.0,27.4,0.613,0.493,0.575,3.5,20.9,12.2,50.7,2.0,1.0,19.5,34.2,,11.5,3.6,15.0,0.245,,7.5,1.2,8.7,8.0
2018,28.0,HOU,NBA,SG,72.0,2551.0,29.8,0.619,0.498,0.502,1.8,15.2,8.6,45.1,2.4,1.7,15.1,36.1,,11.6,3.8,15.4,0.289,,8.5,1.4,9.9,7.7
2019,29.0,HOU,NBA,PG,78.0,2867.0,30.6,0.616,0.539,0.449,2.5,17.8,10.0,39.5,2.7,1.7,14.5,40.5,,11.4,3.8,15.2,0.254,,9.4,1.6,11.0,9.3
2020,30.0,HOU,NBA,SG,68.0,2483.0,29.1,0.626,0.557,0.528,2.9,16.0,9.4,35.9,2.3,2.1,14.2,36.3,,9.9,3.2,13.1,0.254,,8.1,1.6,9.6,7.3
2021,31.0,HOU,NBA,SG,8.0,290.0,23.6,0.613,0.533,0.444,1.9,13.4,7.7,46.4,1.1,1.7,17.4,29.3,,0.9,0.2,1.1,0.186,,5.6,-1.0,4.6,0.5
