Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
2004,20.0,UTA,NBA,SF,79.0,14.0,1144.0,7.2,18.2,0.396,0.9,3.4,0.271,6.3,14.8,0.425,3.2,4.1,0.774,2.1,5.6,7.7,2.9,2.0,0.8,3.2,9.1,18.5,,94.0,104.0
2005,21.0,CLE,NBA,SG,65.0,9.0,862.0,7.4,17.1,0.435,1.9,4.8,0.385,5.6,12.3,0.455,2.7,4.0,0.688,0.9,3.5,4.4,3.0,1.8,0.2,2.9,7.5,19.5,,100.0,109.0
2006,22.0,CLE,NBA,SG,53.0,19.0,813.0,5.7,13.9,0.41,2.3,6.3,0.365,3.4,7.6,0.448,2.1,3.2,0.653,1.1,4.2,5.3,1.6,1.2,0.4,2.8,6.8,15.8,,96.0,108.0
2007,23.0,CLE,NBA,SG,67.0,28.0,1534.0,7.7,16.9,0.453,2.1,5.1,0.405,5.6,11.8,0.474,3.4,4.3,0.794,0.8,4.7,5.4,3.6,1.9,0.6,3.5,5.0,20.8,,103.0,103.0
2008,24.0,CLE,NBA,SG,51.0,45.0,1188.0,6.5,18.1,0.362,1.5,5.1,0.298,5.0,13.0,0.388,2.4,3.5,0.688,1.6,4.2,5.7,3.7,1.3,0.3,2.5,5.2,17.0,,93.0,109.0
2009,25.0,CLE,NBA,SF,66.0,12.0,1053.0,6.0,14.1,0.422,2.5,6.0,0.41,3.5,8.1,0.43,1.3,2.8,0.463,1.6,4.9,6.5,3.7,1.1,0.8,2.5,6.3,15.7,,102.0,105.0
2010,26.0,MIN,NBA,SF,71.0,0.0,877.0,6.2,17.1,0.363,2.0,6.7,0.297,4.2,10.4,0.407,0.6,1.5,0.385,0.7,6.0,6.7,3.3,1.3,0.3,3.0,4.8,15.0,,83.0,113.0
2011,27.0,TOT,NBA,"SF,SG",31.0,7.0,362.0,4.2,10.5,0.403,1.8,4.5,0.387,2.5,6.0,0.415,0.9,1.5,0.6,0.1,4.5,4.7,2.3,1.5,1.0,1.8,5.0,11.1,,92.0,105.0
2011,27.0,DAL,NBA,SF,10.0,6.0,163.0,4.8,11.3,0.429,2.3,5.2,0.438,2.6,6.1,0.421,1.3,1.6,0.8,0.0,3.9,3.9,2.3,1.6,1.0,1.6,4.8,13.2,,103.0,107.0
2011,27.0,NOH,NBA,SG,4.0,1.0,50.0,2.2,11.9,0.182,0.0,5.4,0.0,2.2,6.5,0.333,0.0,0.0,,0.0,6.5,6.5,6.5,0.0,4.3,1.1,4.3,4.3,,61.0,105.0
2011,27.0,BOS,NBA,SG,17.0,0.0,149.0,4.3,9.3,0.462,1.8,3.6,0.5,2.5,5.7,0.438,0.7,1.8,0.4,0.4,4.6,5.0,1.1,1.8,0.0,2.1,5.3,11.1,,91.0,103.0
2012,28.0,BOS,NBA,SF,45.0,7.0,527.0,5.0,12.9,0.391,1.7,5.8,0.293,3.3,7.1,0.471,0.3,0.8,0.375,0.4,6.9,7.3,1.8,2.0,1.5,2.0,5.4,12.1,,82.0,97.0
2013,29.0,POR,NBA,SG,39.0,1.0,528.0,4.2,11.8,0.353,1.8,6.0,0.3,2.4,5.9,0.407,0.1,0.6,0.167,0.7,4.9,5.6,3.2,2.4,0.5,1.4,5.9,10.2,,90.0,109.0
