Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
2010,21,1375,OKC,Oklahoma City Thunder,20.0,NBA,PF,73.0,0.0,1323.0,7.8,14.4,0.54,0.0,0.1,0.5,7.8,14.3,0.54,2.3,3.6,0.63,5.4,10.1,15.5,0.4,1.0,3.8,2.7,7.6,18.0,,109.0,101.0
2011,21,1375,OKC,Oklahoma City Thunder,21.0,NBA,PF,82.0,44.0,2216.0,7.8,14.4,0.54,0.0,0.0,0.0,7.8,14.4,0.54,3.2,4.3,0.75,5.0,9.5,14.5,0.5,0.7,4.6,1.7,6.2,18.9,,119.0,104.0
2012,21,1375,OKC,Oklahoma City Thunder,22.0,NBA,PF,66.0,66.0,1792.0,7.5,14.1,0.54,0.0,0.1,0.33,7.5,14.0,0.54,2.2,3.4,0.66,5.6,8.8,14.3,0.8,1.0,6.9,2.3,5.2,17.4,,113.0,98.0
2013,21,1375,OKC,Oklahoma City Thunder,23.0,NBA,PF,80.0,80.0,2486.0,9.2,16.1,0.57,0.4,1.2,0.35,8.8,14.9,0.59,3.0,4.0,0.75,4.6,8.2,12.8,0.9,0.6,5.0,2.6,4.4,21.8,,117.0,101.0
2014,21,1375,OKC,Oklahoma City Thunder,24.0,NBA,PF,81.0,81.0,2666.0,9.9,18.4,0.54,0.4,1.1,0.38,9.5,17.3,0.55,2.9,3.8,0.78,4.2,9.1,13.4,1.6,0.7,4.1,2.3,4.4,23.1,,115.0,102.0
2015,21,1375,OKC,Oklahoma City Thunder,25.0,NBA,PF,64.0,64.0,2116.0,8.9,18.6,0.48,1.8,4.9,0.38,7.0,13.8,0.51,2.2,2.6,0.84,3.2,8.6,11.8,1.3,0.7,3.7,2.3,4.6,21.7,,109.0,104.0
2016,21,1375,OKC,Oklahoma City Thunder,26.0,NBA,PF,78.0,78.0,2500.0,8.3,17.3,0.48,1.2,3.7,0.33,7.1,13.6,0.52,1.8,2.4,0.75,2.8,7.8,10.6,1.3,0.8,2.9,2.1,4.2,19.5,,108.0,105.0
2017,31,1375,TOT,Total After Trade,27.0,NBA,PF,79.0,79.0,2422.0,9.7,20.2,0.48,2.6,6.5,0.39,7.1,13.7,0.52,2.2,2.6,0.86,2.7,8.4,11.1,1.5,0.8,2.6,2.2,4.4,24.2,,109.0,109.0
2017,22,1375,ORL,Orlando Magic,27.0,NBA,PF,56.0,56.0,1710.0,9.9,20.4,0.49,2.4,6.2,0.39,7.5,14.2,0.53,2.2,2.6,0.85,2.9,8.2,11.1,1.7,1.0,2.6,1.9,4.0,24.5,,111.0,109.0
2017,28,1375,TOR,Toronto Raptors,27.0,NBA,PF,23.0,23.0,712.0,9.1,19.9,0.46,2.9,7.3,0.4,6.2,12.5,0.49,2.1,2.4,0.88,2.1,9.0,11.1,1.1,0.5,2.3,2.8,5.4,23.3,,105.0,108.0
2018,28,1375,TOR,Toronto Raptors,28.0,NBA,PF,76.0,76.0,2093.0,8.9,18.5,0.48,2.5,7.0,0.36,6.4,11.5,0.56,2.2,2.8,0.8,1.8,9.4,11.3,1.5,0.7,2.3,2.1,4.9,22.6,,109.0,105.0
2019,28,1375,TOR,Toronto Raptors,29.0,NBA,C,74.0,51.0,2010.0,11.1,20.9,0.53,1.2,4.0,0.29,9.9,16.9,0.59,3.2,4.2,0.76,3.7,10.6,14.3,2.4,0.7,2.5,2.7,5.0,26.5,,113.0,105.0
2020,28,1375,TOR,Toronto Raptors,30.0,NBA,C,55.0,27.0,1485.0,11.0,21.5,0.51,2.2,5.8,0.38,8.7,15.6,0.56,2.9,4.0,0.72,3.7,10.8,14.5,2.5,0.9,1.5,3.5,4.9,27.1,,108.0,104.0
2021,13,1375,LAC,Los Angeles Clippers,31.0,NBA,C,22.0,22.0,542.0,9.8,18.9,0.52,2.3,5.6,0.41,7.6,13.3,0.57,2.7,3.3,0.83,3.8,9.7,13.5,3.6,0.5,2.6,2.6,4.1,24.7,,120.0,109.0
