Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
1981,27.0,BOS,NBA,C,17.0,,492.0,11.0,22.3,0.493,0.0,0.0,,11.0,22.3,0.493,4.0,5.9,0.672,5.1,9.8,14.9,1.9,2.1,4.0,4.5,7.5,26.0,,101.0,96.0
1982,28.0,BOS,NBA,C,12.0,,426.0,11.7,24.1,0.488,0.0,0.0,,11.7,24.1,0.488,5.9,8.6,0.68,5.0,10.6,15.5,2.1,0.6,5.5,4.5,5.4,29.4,,105.0,95.0
1983,29.0,BOS,NBA,C,7.0,,249.0,8.6,17.8,0.483,0.0,0.0,,8.6,17.8,0.483,3.4,4.0,0.85,4.2,10.6,14.8,1.8,1.0,1.8,3.4,3.6,20.6,,101.0,100.0
1984,30.0,BOS,NBA,C,23.0,,869.0,7.8,16.4,0.478,0.0,0.0,,7.8,16.4,0.478,3.6,5.6,0.646,4.3,9.7,14.0,1.5,1.3,2.3,2.5,5.6,19.3,,107.0,105.0
1985,31.0,BOS,NBA,C,21.0,21.0,803.0,8.0,16.2,0.493,0.0,0.0,,8.0,16.2,0.493,5.1,6.5,0.784,3.4,9.5,12.9,1.8,1.2,2.0,2.9,4.0,21.1,,109.0,107.0
1986,32.0,BOS,NBA,C,18.0,18.0,591.0,8.7,18.6,0.471,0.0,0.0,,8.7,18.6,0.471,4.8,7.3,0.652,4.3,8.7,13.0,2.1,0.7,2.5,3.6,3.9,22.3,,102.0,104.0
1987,33.0,BOS,NBA,C,21.0,21.0,734.0,10.0,17.7,0.567,0.0,0.1,0.0,10.0,17.6,0.569,5.3,6.9,0.767,4.0,9.3,13.3,1.9,1.2,2.4,2.6,5.3,25.4,,120.0,112.0
1988,34.0,BOS,NBA,C,17.0,17.0,626.0,8.3,15.6,0.532,0.0,0.0,,8.3,15.6,0.532,4.2,5.1,0.82,4.2,9.7,14.0,1.7,0.9,1.6,3.2,3.5,20.8,,110.0,107.0
1989,35.0,BOS,NBA,C,3.0,3.0,112.0,9.2,20.3,0.455,0.0,0.0,,9.2,20.3,0.455,3.2,4.2,0.778,2.8,9.2,12.0,2.8,1.8,0.9,2.8,2.3,21.7,,96.0,106.0
1990,36.0,BOS,NBA,C,5.0,5.0,170.0,8.8,15.3,0.574,0.0,0.0,,8.8,15.3,0.574,4.8,5.1,0.944,6.5,7.6,14.1,3.7,1.4,2.0,3.4,5.9,22.3,,125.0,116.0
1991,37.0,BOS,NBA,C,10.0,10.0,296.0,9.9,16.5,0.598,0.0,0.0,,9.9,16.5,0.598,7.1,10.4,0.689,5.6,10.0,15.6,1.0,1.4,1.2,2.7,5.8,26.9,,125.0,111.0
1992,38.0,BOS,NBA,C,10.0,10.0,335.0,7.8,15.8,0.495,0.0,0.0,,7.8,15.8,0.495,3.1,4.4,0.714,5.9,9.2,15.2,2.2,1.1,2.3,1.4,3.4,18.8,,120.0,113.0
1993,39.0,BOS,NBA,C,4.0,4.0,146.0,11.5,21.1,0.544,0.0,0.0,,11.5,21.1,0.544,2.2,2.6,0.857,4.8,9.2,14.0,1.8,0.4,2.2,2.2,5.2,25.1,,119.0,111.0
1995,41.0,CHH,NBA,C,4.0,0.0,71.0,4.8,8.8,0.545,0.0,0.0,,4.8,8.8,0.545,1.6,4.0,0.4,3.2,4.0,7.2,0.8,0.0,2.4,0.8,1.6,11.2,,113.0,114.0
1997,43.0,CHI,NBA,C,2.0,0.0,18.0,3.1,21.8,0.143,0.0,0.0,,3.1,21.8,0.143,0.0,0.0,,6.2,6.2,12.5,0.0,0.0,9.4,0.0,6.2,6.2,,55.0,98.0
