PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
Truck Robinson,28,82,,33.0,6.6,13.0,0.512,0.0,0.0,,6.6,13.0,0.512,0.512,4.0,5.9,0.667,2.6,6.8,9.4,1.7,0.7,0.7,3.1,3.2,17.3
Paul Westphal,29,82,,32.5,8.4,16.1,0.525,0.3,1.1,0.28,8.1,14.9,0.544,0.535,4.7,5.4,0.862,0.6,1.7,2.3,5.1,1.5,0.4,2.5,2.0,21.9
Don Buse,29,81,,30.9,3.2,7.3,0.44299999999999995,0.2,1.0,0.24100000000000002,3.0,6.3,0.475,0.45899999999999996,1.0,1.6,0.664,0.9,2.0,2.9,4.0,1.6,0.1,1.1,1.4,7.7
Walter Davis,25,75,,30.8,8.8,15.5,0.563,0.0,0.1,0.0,8.8,15.5,0.565,0.563,4.0,4.9,0.8190000000000001,1.0,2.6,3.6,4.5,1.5,0.3,3.2,2.7,21.5
Alvan Adams,25,75,,28.9,6.2,11.7,0.531,0.0,0.0,0.0,6.2,11.6,0.5329999999999999,0.531,2.5,3.1,0.797,2.1,6.0,8.1,4.3,1.4,0.7,2.9,3.2,14.9
Mike Bratz,24,82,,19.4,3.3,8.4,0.392,0.3,1.0,0.244,3.0,7.3,0.413,0.40700000000000003,1.7,2.0,0.87,0.6,1.4,2.0,2.7,1.1,0.1,1.6,2.0,8.5
Gar Heard,31,82,,17.1,2.1,5.0,0.41700000000000004,0.0,0.0,0.0,2.1,5.0,0.419,0.41700000000000004,0.8,1.0,0.7440000000000001,1.4,3.2,4.6,1.2,1.0,0.6,1.1,2.2,5.0
Alvin Scott,24,79,,16.5,1.6,3.8,0.42200000000000004,0.0,0.0,0.33299999999999996,1.6,3.8,0.423,0.424,1.2,1.5,0.779,1.1,1.8,2.9,1.2,0.6,0.7,1.2,1.3,4.4
Rich Kelley,26,23,,16.2,1.9,3.7,0.506,0.0,0.0,,1.9,3.7,0.506,0.506,2.0,2.6,0.7829999999999999,1.9,3.2,5.1,2.2,1.2,0.7,2.0,2.5,5.8
Jeff Cook,23,66,,13.7,2.0,4.2,0.469,0.0,0.0,0.0,2.0,4.1,0.474,0.469,1.6,2.0,0.8059999999999999,1.4,2.3,3.7,1.3,0.4,0.3,1.1,1.5,5.5
Johnny High,22,82,,13.7,1.8,3.9,0.446,0.0,0.1,0.14300000000000002,1.7,3.9,0.45299999999999996,0.447,1.5,2.2,0.674,0.8,1.3,2.1,1.5,0.9,0.2,1.5,2.1,5.0
Joel Kramer,24,54,,13.2,1.2,2.6,0.469,0.0,0.0,0.0,1.2,2.6,0.47200000000000003,0.469,1.0,1.3,0.8,0.9,1.9,2.8,1.4,0.5,0.1,0.9,1.9,3.5
