PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
Julius Erving,29,78,78.0,36.1,10.7,20.7,0.519,0.1,0.3,0.2,10.7,20.4,0.523,0.52,5.4,6.8,0.787,2.8,4.6,7.4,4.6,2.2,1.8,3.6,2.7,26.9
Caldwell Jones,29,80,80.0,34.6,2.9,6.7,0.436,0.0,0.0,0.0,2.9,6.6,0.43799999999999994,0.436,1.6,2.2,0.6970000000000001,2.7,9.1,11.9,2.1,0.5,2.0,2.7,3.7,7.4
Maurice Cheeks,23,79,79.0,33.2,4.5,8.4,0.54,0.1,0.1,0.444,4.5,8.3,0.541,0.5429999999999999,2.3,2.9,0.779,0.9,2.5,3.5,7.0,2.3,0.4,2.7,2.5,11.4
Darryl Dawkins,23,80,80.0,31.8,6.2,11.8,0.522,0.0,0.1,0.0,6.2,11.8,0.526,0.522,2.4,3.6,0.653,2.5,6.2,8.7,1.9,0.6,1.8,2.9,4.1,14.7
Lionel Hollins,26,27,26.0,29.5,4.8,11.6,0.415,0.1,0.4,0.2,4.7,11.2,0.42200000000000004,0.419,2.5,3.2,0.77,0.9,1.7,2.6,4.1,1.7,0.3,2.5,2.5,12.2
Doug Collins,28,36,17.0,26.8,5.3,11.4,0.466,0.0,0.0,0.0,5.3,11.4,0.467,0.466,3.1,3.4,0.9109999999999999,0.8,1.8,2.6,2.8,0.8,0.2,2.3,2.1,13.8
Bobby Jones,28,81,3.0,26.2,4.9,9.2,0.532,0.0,0.0,0.0,4.9,9.2,0.534,0.532,3.2,4.1,0.7809999999999999,1.9,3.7,5.6,1.8,1.3,1.5,1.8,2.8,13.0
Henry Bibby,30,82,8.0,24.8,3.1,7.6,0.401,0.1,0.6,0.212,2.9,7.0,0.418,0.41,2.8,3.5,0.79,0.8,1.7,2.5,3.7,0.8,0.1,1.8,2.0,9.0
Steve Mix,32,81,5.0,19.0,4.5,8.7,0.516,0.0,0.1,0.4,4.4,8.6,0.518,0.519,2.6,3.1,0.831,1.4,2.2,3.6,1.8,0.8,0.1,1.6,1.4,11.6
Clint Richardson,23,52,34.0,19.0,3.1,6.7,0.457,0.0,0.1,0.33299999999999996,3.0,6.6,0.45799999999999996,0.45799999999999996,0.5,0.9,0.622,1.1,1.3,2.4,2.1,0.5,0.3,1.2,1.9,6.7
Eric Money,24,6,,13.7,2.3,6.0,0.389,0.0,0.0,,2.3,6.0,0.389,0.389,0.3,0.3,1.0,0.5,0.7,1.2,2.7,0.0,0.2,2.0,1.8,5.0
Jim Spanarkel,22,40,,11.1,1.8,3.8,0.47100000000000003,0.0,0.1,0.0,1.8,3.8,0.47700000000000004,0.47100000000000003,1.4,1.6,0.831,0.7,0.7,1.4,1.3,0.3,0.2,1.4,1.5,5.0
Bernard Toone,23,23,,5.4,1.0,2.8,0.359,0.0,0.3,0.14300000000000002,1.0,2.5,0.386,0.36700000000000005,0.3,0.4,0.8,0.5,1.0,1.5,0.5,0.2,0.2,0.7,0.9,2.4
Al Skinner,27,2,,5.0,0.5,1.0,0.5,0.0,0.0,,0.5,1.0,0.5,0.5,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,1.0
