PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
LeBron James,26,79,79,3063,13.1,25.6,0.51,1.6,4.8,0.33,11.5,20.8,0.552,8.7,11.4,0.759,1.4,8.8,10.2,9.6,2.1,0.9,4.9,2.8,36.4,,116,102
Dwyane Wade,29,76,76,2823,12.9,25.9,0.5,1.2,3.9,0.306,11.8,22.0,0.534,9.2,12.2,0.758,2.3,6.8,9.1,6.5,2.1,1.6,4.4,3.7,36.3,,114,102
Chris Bosh,26,77,77,2795,9.9,20.0,0.496,0.1,0.5,0.24,9.8,19.5,0.502,7.3,8.9,0.815,2.7,9.4,12.1,2.7,1.1,0.9,2.6,3.2,27.2,,115,103
Mario Chalmers,24,70,28,1579,5.2,13.0,0.39899999999999997,2.8,7.7,0.359,2.4,5.3,0.45899999999999996,1.8,2.1,0.871,0.4,4.5,4.9,5.9,2.5,0.2,3.0,5.3,14.9,,103,104
James Jones,30,81,8,1549,5.0,11.8,0.42200000000000004,4.2,9.8,0.429,0.8,2.0,0.39,2.0,2.5,0.833,0.8,4.7,5.5,1.5,1.0,0.6,0.7,4.4,16.2,,128,107
Joel Anthony,28,75,11,1463,1.9,3.6,0.535,0.0,0.0,,1.9,3.6,0.535,1.7,2.6,0.644,3.8,5.8,9.6,0.9,0.4,3.4,1.3,7.0,5.5,,120,104
Zydrunas Ilgauskas,35,72,51,1145,7.5,14.7,0.508,0.0,0.0,0.0,7.5,14.7,0.509,1.7,2.1,0.7829999999999999,5.0,8.3,13.2,1.2,1.1,2.7,2.4,8.5,16.6,,107,102
Carlos Arroyo,31,49,42,995,5.8,12.6,0.45799999999999996,1.5,3.4,0.43799999999999994,4.3,9.2,0.466,1.5,1.9,0.8,0.7,3.6,4.2,5.3,0.7,0.1,2.3,3.2,14.5,,108,109
Eddie House,32,56,1,978,6.9,17.3,0.39899999999999997,3.7,9.4,0.389,3.2,7.9,0.41100000000000003,2.1,2.2,0.95,0.5,4.5,5.0,3.3,1.7,0.2,1.6,3.7,19.5,,109,106
Mike Miller,30,41,2,838,5.1,12.7,0.401,2.7,7.4,0.364,2.4,5.3,0.452,1.4,2.1,0.6759999999999999,2.4,9.2,11.6,3.2,1.3,0.1,2.6,5.5,14.4,,104,104
Erick Dampier,35,51,22,815,3.4,5.8,0.584,0.0,0.1,0.0,3.4,5.7,0.591,1.6,2.9,0.545,3.4,8.0,11.5,1.4,0.9,3.0,2.1,5.3,8.3,,110,102
Juwan Howard,37,57,0,592,4.9,11.1,0.44,0.0,0.0,,4.9,11.1,0.44,2.6,3.1,0.8290000000000001,3.2,7.7,10.9,2.1,0.9,0.4,2.2,5.4,12.4,,102,105
Mike Bibby,32,22,12,582,5.0,11.4,0.43700000000000006,3.6,8.0,0.455,1.4,3.4,0.395,0.9,1.5,0.625,0.2,4.3,4.4,5.0,1.0,0.3,2.9,4.3,14.5,,108,107
Udonis Haslem,30,13,0,345,6.7,13.2,0.512,0.0,0.0,,6.7,13.2,0.512,2.4,3.1,0.8,4.4,11.8,16.2,0.9,1.1,0.5,2.1,6.0,15.9,,110,102
Jamaal Magloire,32,18,0,158,4.3,7.4,0.591,0.0,0.0,,4.3,7.4,0.591,3.0,6.0,0.5,5.7,14.7,20.4,1.0,1.3,0.7,1.7,8.7,11.7,,121,99
Jerry Stackhouse,36,7,1,50,3.2,12.7,0.25,1.1,4.2,0.25,2.1,8.4,0.25,5.3,7.4,0.7140000000000001,1.1,6.3,7.4,3.2,0.0,2.1,2.1,3.2,12.7,,88,106
Dexter Pittman,22,2,0,11,4.8,14.4,0.33299999999999996,0.0,0.0,,4.8,14.4,0.33299999999999996,0.0,0.0,,4.8,9.6,14.4,0.0,0.0,0.0,9.6,9.6,9.6,,52,106
