Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 30,Trp Dbl
1996-97,22.0,DEN,NBA,PG,13.0,0.0,117.0,23.0,49.0,0.469,12.0,26.0,0.462,11.0,23.0,0.478,0.592,7.0,10.0,0.7,2.0,4.0,6.0,18.0,2.0,1.0,13.0,16.0,65.0,,0.0
1998-99,24.0,WAS,NBA,PG,35.0,6.0,427.0,50.0,134.0,0.373,9.0,35.0,0.257,41.0,99.0,0.414,0.407,21.0,28.0,0.75,9.0,12.0,21.0,73.0,19.0,1.0,30.0,36.0,130.0,,0.0
1999-00,25.0,LAC,NBA,PG,25.0,10.0,597.0,80.0,186.0,0.43,7.0,21.0,0.333,73.0,165.0,0.442,0.449,13.0,17.0,0.765,18.0,54.0,72.0,89.0,15.0,2.0,27.0,55.0,180.0,,0.0
2000-01,26.0,LAC,NBA,PG,81.0,81.0,2831.0,432.0,933.0,0.463,52.0,144.0,0.361,380.0,789.0,0.482,0.491,130.0,161.0,0.807,41.0,179.0,220.0,447.0,75.0,7.0,113.0,199.0,1046.0,,1.0
2001-02,27.0,LAC,NBA,PG,81.0,80.0,3030.0,463.0,1121.0,0.413,75.0,234.0,0.321,388.0,887.0,0.437,0.446,183.0,219.0,0.836,45.0,168.0,213.0,500.0,63.0,6.0,147.0,202.0,1184.0,,0.0
2002-03,28.0,POR,NBA,PG,75.0,1.0,1311.0,188.0,423.0,0.444,6.0,35.0,0.171,182.0,388.0,0.469,0.452,50.0,67.0,0.746,22.0,75.0,97.0,170.0,21.0,2.0,75.0,117.0,432.0,,0.0
2003-04,29.0,TOT,NBA,"PG,SG",70.0,57.0,2365.0,334.0,747.0,0.447,46.0,127.0,0.362,288.0,620.0,0.465,0.478,114.0,143.0,0.797,33.0,143.0,176.0,430.0,72.0,6.0,120.0,163.0,828.0,,0.0
2003-04,29.0,POR,NBA,SG,39.0,26.0,1269.0,196.0,416.0,0.471,15.0,47.0,0.319,181.0,369.0,0.491,0.489,58.0,76.0,0.763,16.0,78.0,94.0,196.0,36.0,2.0,61.0,94.0,465.0,,0.0
2003-04,29.0,CLE,NBA,PG,31.0,31.0,1096.0,138.0,331.0,0.417,31.0,80.0,0.388,107.0,251.0,0.426,0.464,56.0,67.0,0.836,17.0,65.0,82.0,234.0,36.0,4.0,59.0,69.0,363.0,,0.0
2004-05,30.0,CLE,NBA,PG,76.0,69.0,2651.0,377.0,915.0,0.412,91.0,264.0,0.345,286.0,651.0,0.439,0.462,130.0,160.0,0.813,32.0,125.0,157.0,391.0,56.0,1.0,117.0,177.0,975.0,,0.0
2005-06,31.0,NJN,NBA,SG,28.0,1.0,486.0,63.0,143.0,0.441,3.0,16.0,0.188,60.0,127.0,0.472,0.451,20.0,29.0,0.69,11.0,39.0,50.0,52.0,11.0,2.0,29.0,37.0,149.0,,0.0
2006-07,32.0,CHA,NBA,PG,38.0,3.0,702.0,71.0,181.0,0.392,1.0,8.0,0.125,70.0,173.0,0.405,0.395,22.0,32.0,0.688,14.0,48.0,62.0,124.0,14.0,0.0,42.0,72.0,165.0,,0.0
2007-08,33.0,CHA,NBA,PG,54.0,26.0,1410.0,108.0,249.0,0.434,3.0,19.0,0.158,105.0,230.0,0.457,0.44,23.0,30.0,0.767,16.0,80.0,96.0,220.0,23.0,3.0,76.0,120.0,242.0,,0.0
