SEASON,TEAM ID,TEAM,W,L,W/L%,GB,PS/G,PA/G,SRS
1983,27,SAS,53,29,.646,—,114.3,110.7,3.10
1983,8,DEN,45,37,.549,8.0,123.2,122.6,0.27
1983,26,KCK,45,37,.549,8.0,113.8,112.3,1.04
1983,7,DAL,38,44,.463,15.0,112.7,113.1,-0.70
1983,29,UTA,30,52,.366,23.0,109.0,113.2,-4.22
1983,11,HOU,14,68,.171,39.0,99.3,110.9,-11.12
1983,14,LAL,58,24,.707,—,115.0,109.5,5.06
1983,24,PHO,53,29,.646,5.0,107.0,102.0,4.61
1983,21,SEA,48,34,.585,10.0,110.0,106.8,2.88
1983,25,POR,46,36,.561,12.0,107.4,105.3,1.88
1983,10,GSW,30,52,.366,28.0,108.6,112.3,-3.48
1983,13,SDC,25,57,.305,33.0,108.6,113.4,-4.61
