TEAM,W,L,W/L%,GB,PS/G,PA/G,SRS
BOS,61,21,.744,—,113.5,105.7,7.37
PHI,59,23,.720,2.0,109.1,104.9,4.04
WAB,39,43,.476,22.0,107.0,109.5,-2.27
NYK,39,43,.476,22.0,114.0,115.1,-0.96
NJN,34,48,.415,27.0,108.3,109.5,-0.98
ALT,50,32,.610,—,104.5,101.6,2.83
HOU,41,41,.500,9.0,110.8,110.6,0.27
SAS,41,41,.500,9.0,119.4,119.7,-0.24
IND,37,45,.451,13.0,111.2,111.9,-0.54
CLE,37,45,.451,13.0,114.1,113.8,0.43
DET,16,66,.195,34.0,108.9,117.2,-7.57
