TEAM,W,L,W/L%,GB,PS/G,PA/G,SRS
BOS,63,19,.768,—,114.8,108.1,6.47
PHI,58,24,.707,5.0,112.9,108.8,4.17
NJN,42,40,.512,21.0,109.5,109.2,0.64
WAB,40,42,.488,23.0,105.5,105.8,0.15
NYK,24,58,.293,39.0,105.2,109.8,-4.09
MIL,59,23,.720,—,110.9,104.0,6.69
DET,46,36,.561,13.0,116.0,113.5,2.73
CHI,38,44,.463,21.0,108.7,109.6,-0.50
CLE,36,46,.439,23.0,108.6,111.3,-2.27
ALT,34,48,.415,25.0,106.6,108.1,-1.14
IND,22,60,.268,37.0,108.3,114.5,-5.46
