SEASON,TEAM ID,TEAM,W,L,W/L%,GB,PS/G,PA/G,SRS
1995,22,ORL,57,25,.695,—,110.9,103.8,6.44
1995,20,NYK,55,27,.671,2.0,98.2,95.1,2.78
1995,2,BOS,35,47,.427,22.0,102.8,104.7,-1.92
1995,16,MIA,32,50,.390,25.0,101.1,102.8,-1.85
1995,3,NJN,30,52,.366,27.0,98.1,101.2,-3.28
1995,23,PHI,24,58,.293,33.0,95.4,100.4,-5.06
1995,30,WAB,21,61,.256,36.0,100.5,106.1,-5.56
1995,12,IND,52,30,.634,—,99.2,95.5,3.35
1995,4,CHO,50,32,.610,2.0,100.6,97.3,2.87
1995,5,CHI,47,35,.573,5.0,101.5,96.7,4.32
1995,6,CLE,43,39,.524,9.0,90.5,89.8,0.55
1995,1,ALT,42,40,.512,10.0,96.6,95.3,1.06
1995,17,MIL,34,48,.415,18.0,99.3,103.7,-4.30
1995,9,DET,28,54,.341,24.0,98.2,105.5,-7.08
