TEAM,W,L,W/L%,GB,PS/G,PA/G,SRS
BOS,51,31,.622,—,106.6,103.0,3.41
NYK,51,31,.622,—,101.6,97.7,3.67
NJN,40,42,.488,11.0,105.4,107.1,-1.54
MIA,38,44,.463,13.0,105.0,109.2,-3.94
PHI,35,47,.427,16.0,101.9,103.2,-1.34
WAB,25,57,.305,26.0,102.4,106.8,-4.35
ORL,21,61,.256,30.0,101.6,108.5,-6.52
CHI,67,15,.817,—,109.9,99.5,10.07
CLE,57,25,.695,10.0,108.9,103.4,5.34
DET,48,34,.585,19.0,98.9,96.9,2.06
IND,40,42,.488,27.0,112.2,110.3,1.85
ALT,38,44,.463,29.0,106.2,107.7,-1.15
MIL,31,51,.378,36.0,105.0,106.7,-1.46
CHO,31,51,.378,36.0,109.5,113.4,-3.57
