SEASON,TEAM ID,TEAM,W,L,W/L%,GB,PS/G,PA/G,SRS
2005,21,SEA,52,30,.634,—,98.9,96.6,2.59
2005,8,DEN,49,33,.598,3.0,99.5,97.5,2.23
2005,18,MIN,44,38,.537,8.0,96.8,95.3,1.73
2005,25,POR,27,55,.329,25.0,92.9,96.9,-3.45
2005,29,UTA,26,56,.317,26.0,93.0,97.3,-3.74
2005,24,PHO,62,20,.756,—,110.4,103.3,7.08
2005,26,SAC,50,32,.610,12.0,103.7,101.6,2.56
2005,13,LAC,37,45,.451,25.0,95.7,96.5,-0.47
2005,14,LAL,34,48,.415,28.0,98.7,101.7,-2.32
2005,10,GSW,34,48,.415,28.0,98.7,100.9,-1.74
2005,27,SAS,59,23,.720,—,96.2,88.4,7.84
2005,7,DAL,58,24,.707,1.0,102.5,96.8,5.86
2005,11,HOU,51,31,.622,8.0,95.1,91.0,4.27
2005,15,MEM,45,37,.549,14.0,93.4,91.1,2.64
2005,19,NOH,18,64,.220,41.0,88.4,95.5,-6.30
