TEAM,W,L,W/L%,GB,PS/G,PA/G,SRS
OKC,47,19,.712,—,103.1,96.9,6.44
DEN,38,28,.576,9.0,104.1,101.2,3.16
UTA,36,30,.545,11.0,99.7,99.0,0.92
POR,28,38,.424,19.0,97.2,97.8,-0.22
MIN,26,40,.394,21.0,97.9,100.1,-1.83
LAL,41,25,.621,—,97.3,95.9,1.96
LAC,40,26,.606,1.0,97.5,95.0,2.82
PHO,33,33,.500,8.0,98.4,98.6,0.29
GSW,23,43,.348,18.0,97.8,101.2,-2.79
SAC,22,44,.333,19.0,98.8,104.4,-4.95
SAS,50,16,.758,—,103.7,96.5,7.28
MEM,41,25,.621,9.0,95.0,93.0,2.43
DAL,36,30,.545,14.0,95.8,94.8,1.78
HOU,34,32,.515,16.0,98.1,97.9,0.57
NOH,21,45,.318,29.0,89.6,93.4,-3.11
