TEAM,W,L,W/L%,GB,PS/G,PA/G,SRS
ORL,60,22,.732,—,104.5,99.0,5.40
NYK,47,35,.573,13.0,97.2,94.9,2.24
MIA,42,40,.512,18.0,96.5,95.0,1.46
WAB,39,43,.476,21.0,102.5,101.5,0.99
BOS,33,49,.402,27.0,103.6,107.0,-3.37
NJN,30,52,.366,30.0,93.7,97.9,-4.14
PHI,18,64,.220,42.0,94.5,104.5,-9.45
CHI,72,10,.878,—,105.2,92.9,11.80
IND,52,30,.634,20.0,99.3,96.1,3.11
CLE,47,35,.573,25.0,91.1,88.5,2.49
ALT,46,36,.561,26.0,98.3,97.1,1.29
DET,46,36,.561,26.0,95.4,92.9,2.45
CHO,41,41,.500,31.0,102.8,103.4,-0.48
MIL,25,57,.305,47.0,95.6,100.9,-4.92
TOR,21,61,.256,51.0,97.5,105.0,-7.20
