TEAM,W,L,W/L%,GB,PS/G,PA/G,SRS
HOU,55,27,.671,—,104.0,99.8,3.57
SAS,49,33,.598,6.0,105.5,102.8,2.21
UTA,47,35,.573,8.0,106.2,104.0,1.74
DEN,36,46,.439,19.0,105.2,106.9,-2.14
MIN,19,63,.232,36.0,98.1,105.9,-7.62
DAL,11,71,.134,44.0,99.3,114.5,-14.68
PHO,62,20,.756,—,113.4,106.7,6.27
SEA,55,27,.671,7.0,108.3,101.3,6.66
POR,51,31,.622,11.0,108.5,105.4,2.92
LAC,41,41,.500,21.0,107.1,106.8,0.33
LAL,39,43,.476,23.0,104.2,105.5,-1.20
GSW,34,48,.415,28.0,109.9,110.9,-0.94
SAC,25,57,.305,37.0,107.9,111.1,-3.00
