TEAM,W,L,W/L%,GB,PS/G,PA/G,SRS
UTA,55,27,.671,—,108.3,101.9,5.70
SAS,47,35,.573,8.0,104.0,100.6,2.81
HOU,42,40,.512,13.0,102.0,103.7,-1.94
DEN,24,58,.293,31.0,99.7,107.6,-7.59
DAL,22,60,.268,33.0,97.6,105.3,-7.47
MIN,15,67,.183,40.0,100.5,107.5,-6.85
POR,57,25,.695,—,111.4,104.1,6.94
GSW,55,27,.671,2.0,118.7,114.8,3.77
PHO,53,29,.646,4.0,112.1,106.2,5.68
SEA,47,35,.573,10.0,106.5,104.7,1.86
LAC,45,37,.549,12.0,102.9,101.9,1.10
LAL,43,39,.524,14.0,100.4,101.5,-0.95
SAC,29,53,.354,28.0,104.3,110.3,-5.63
