TEAM,W,L,W/L%,GB,PS/G,PA/G,SRS
NJN,52,30,.634,—,96.2,92.0,3.67
BOS,49,33,.598,3.0,96.4,94.1,1.75
ORL,44,38,.537,8.0,100.5,98.9,1.25
PHI,43,39,.524,9.0,91.0,89.4,1.27
WAS,37,45,.451,15.0,92.8,94.2,-1.58
MIA,36,46,.439,16.0,87.2,88.7,-1.84
NYK,30,52,.366,22.0,91.6,95.6,-4.15
DET,50,32,.610,—,94.3,92.2,1.69
CHO,44,38,.537,6.0,93.9,92.9,0.57
TOR,42,40,.512,8.0,91.4,91.8,-0.71
IND,42,40,.512,8.0,96.8,96.5,-0.07
MIL,41,41,.500,9.0,97.5,97.7,-0.62
ALT,33,49,.402,17.0,94.0,98.3,-4.41
CLE,29,53,.354,21.0,95.3,98.6,-3.52
CHI,21,61,.256,29.0,89.5,98.0,-8.52
