TEAM,W,L,W/L%,GB,PS/G,PA/G,SRS
NYK,60,22,.732,—,101.6,95.4,5.87
BOS,48,34,.585,12.0,103.7,102.8,0.93
NJN,43,39,.524,17.0,102.8,101.6,1.20
ORL,41,41,.500,19.0,105.5,104.2,1.35
MIA,36,46,.439,24.0,103.6,104.7,-0.93
PHI,26,56,.317,34.0,104.3,110.1,-5.25
WAB,22,60,.268,38.0,101.9,108.9,-6.49
CHI,57,25,.695,—,105.2,98.9,6.19
CLE,54,28,.659,3.0,107.7,101.3,6.30
CHO,44,38,.537,13.0,110.1,110.4,-0.02
ALT,43,39,.524,14.0,107.5,108.4,-0.67
IND,41,41,.500,16.0,107.8,106.1,1.77
DET,40,42,.488,17.0,100.6,102.0,-1.10
MIL,28,54,.341,29.0,102.3,106.1,-3.26
