Season,Team ID,Team ABV,Team,Number,Player,Pos,Height,Weight,Birth Date,Nationality,Experience,College
1989,12,IND,Indiana Pacers,54,Greg Dreiling,C,7-1,250,1962-11-07,US,2,"Wichita State, Kansas"
1989,12,IND,Indiana Pacers,10,Vern Fleming,PG,6-5,185,1962-02-04,US,4,Georgia
1989,12,IND,Indiana Pacers,22,Anthony Frederick,SF,6-7,205,1964-12-07,US,R,Pepperdine
1989,12,IND,Indiana Pacers,55,Stuart Gray,C,7-0,235,1963-05-27,PA,4,UCLA
1989,12,IND,Indiana Pacers,25,John Long,SG,6-5,195,1956-08-28,US,10,Detroit Mercy
1989,12,IND,Indiana Pacers,31,Reggie Miller,SG,6-7,185,1965-08-24,US,1,UCLA
1989,12,IND,Indiana Pacers,4,Richard Morton,PG,6-3,190,1966-02-02,US,R,Cal State Fullerton
1989,12,IND,Indiana Pacers,45,Chuck Person,SF,6-8,220,1964-06-27,US,2,Auburn
1989,12,IND,Indiana Pacers,11,Detlef Schrempf,PF,6-10,235,1963-01-21,DE,3,Washington
1989,12,IND,Indiana Pacers,3,Scott Skiles,PG,6-1,180,1964-03-05,US,2,Michigan State
1989,12,IND,Indiana Pacers,24,Rik Smits,C,7-4,250,1966-08-23,NL,R,Marist College
1989,12,IND,Indiana Pacers,15,Everette Stephens,PG,6-2,175,1966-10-21,US,R,Purdue
1989,12,IND,Indiana Pacers,41,LaSalle Thompson,C,6-10,245,1961-06-23,US,6,Texas
1989,12,IND,Indiana Pacers,23,Wayman Tisdale,PF,6-9,240,1964-06-09,US,3,Oklahoma
1989,12,IND,Indiana Pacers,11,Sedric Toney,PG,6-2,178,1962-04-13,US,2,Dayton
1989,12,IND,Indiana Pacers,32,Herb Williams,C,6-10,242,1958-02-16,US,7,Ohio State
1989,12,IND,Indiana Pacers,14,Randy Wittman,SF,6-6,210,1959-10-28,US,5,Indiana
