Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2011,26,618,SAC,Sacramento Kings,DeMarcus Cousins,"August 13, 1990",20.0,NBA,C,81.0,62.0,2309.0,6.7,15.7,0.43,0.0,0.3,0.17,6.7,15.4,0.44,4.3,6.3,0.69,3.4,7.5,10.9,3.2,1.3,1.1,4.2,5.2,17.8
2012,26,618,SAC,Sacramento Kings,DeMarcus Cousins,"August 13, 1990",21.0,NBA,C,64.0,62.0,1950.0,8.3,18.4,0.45,0.0,0.3,0.14,8.2,18.2,0.45,4.8,6.9,0.7,4.9,8.1,13.0,1.9,1.7,1.4,3.1,4.7,21.4
2013,26,618,SAC,Sacramento Kings,DeMarcus Cousins,"August 13, 1990",22.0,NBA,C,75.0,74.0,2289.0,7.6,16.3,0.46,0.1,0.3,0.18,7.5,15.9,0.47,4.9,6.7,0.74,3.5,8.2,11.7,3.1,1.7,0.9,3.5,4.2,20.1
2014,26,618,SAC,Sacramento Kings,DeMarcus Cousins,"August 13, 1990",23.0,NBA,C,71.0,71.0,2298.0,9.3,18.7,0.5,0.0,0.1,0.0,9.3,18.5,0.5,6.8,9.3,0.73,3.4,9.6,13.0,3.2,1.7,1.4,3.9,4.2,25.3
2015,26,618,SAC,Sacramento Kings,DeMarcus Cousins,"August 13, 1990",24.0,NBA,C,59.0,59.0,2013.0,8.9,19.1,0.47,0.0,0.1,0.25,8.9,18.9,0.47,7.6,9.7,0.78,3.3,10.1,13.4,3.8,1.6,1.8,4.5,4.3,25.4
2016,26,618,SAC,Sacramento Kings,DeMarcus Cousins,"August 13, 1990",25.0,NBA,C,65.0,65.0,2246.0,9.6,21.3,0.45,1.1,3.4,0.33,8.5,18.0,0.47,7.6,10.6,0.72,2.5,9.4,12.0,3.4,1.6,1.5,4.0,3.8,28.0
2017,31,618,TOT,Total After Trade,DeMarcus Cousins,"August 13, 1990",26.0,NBA,C,72.0,72.0,2465.0,9.4,20.9,0.45,1.9,5.3,0.36,7.5,15.6,0.48,7.6,9.8,0.77,2.2,9.4,11.6,4.8,1.5,1.4,3.9,4.1,28.4
2017,26,618,SAC,Sacramento Kings,DeMarcus Cousins,"August 13, 1990",26.0,NBA,C,55.0,55.0,1891.0,9.6,21.3,0.45,1.8,5.1,0.36,7.8,16.2,0.48,8.1,10.5,0.77,2.2,8.9,11.1,5.1,1.4,1.4,3.9,3.9,29.1
2017,19,618,NOP,New Orleans Pelicans,DeMarcus Cousins,"August 13, 1990",26.0,NBA,C,17.0,17.0,574.0,8.9,19.7,0.45,2.3,6.0,0.38,6.6,13.7,0.49,5.9,7.6,0.78,2.3,10.9,13.2,4.1,1.6,1.2,3.9,4.7,26.0
2018,19,618,NOP,New Orleans Pelicans,DeMarcus Cousins,"August 13, 1990",27.0,NBA,C,48.0,48.0,1737.0,8.4,17.9,0.47,2.2,6.1,0.35,6.3,11.8,0.53,6.1,8.2,0.75,2.2,10.6,12.8,5.3,1.6,1.6,5.0,3.8,25.1
2019,10,618,GSW,Golden State Warriors,DeMarcus Cousins,"August 13, 1990",28.0,NBA,C,30.0,30.0,771.0,8.3,17.3,0.48,1.2,4.4,0.27,7.1,12.9,0.55,4.9,6.7,0.74,2.0,9.5,11.5,5.0,1.9,2.1,3.4,5.1,22.8
2021,11,618,HOU,Houston Rockets,DeMarcus Cousins,"August 13, 1990",30.0,NBA,C,21.0,7.0,403.0,5.3,15.2,0.35,2.7,8.4,0.32,2.6,6.8,0.38,3.2,4.5,0.72,2.3,11.5,13.8,4.6,1.6,1.4,3.1,5.4,16.4
