SEASON,TEAM ID,TEAM,W,L,W/L%,GB,PS/G,PA/G,SRS
1997,29,UTA,64,18,.780,—,103.1,94.3,7.97
1997,11,HOU,57,25,.695,7.0,100.6,96.1,3.85
1997,18,MIN,40,42,.488,24.0,96.1,97.6,-1.82
1997,7,DAL,24,58,.293,40.0,90.6,97.0,-6.47
1997,8,DEN,21,61,.256,43.0,97.8,104.1,-6.40
1997,27,SAS,20,62,.244,44.0,90.5,98.3,-7.93
1997,15,VAN,14,68,.171,50.0,89.2,99.4,-10.17
1997,21,SEA,57,25,.695,—,100.9,93.2,6.91
1997,14,LAL,56,26,.683,1.0,100.0,95.7,3.66
1997,25,POR,49,33,.598,8.0,99.0,94.8,3.56
1997,24,PHO,40,42,.488,17.0,102.8,102.2,0.21
1997,13,LAC,36,46,.439,21.0,97.2,99.5,-2.66
1997,26,SAC,34,48,.415,23.0,96.4,99.8,-3.64
1997,10,GSW,30,52,.366,27.0,99.6,104.4,-4.90
