SEASON,TEAM ID,TEAM,W,L,W/L%,GB,PS/G,PA/G,SRS
2003,27,SAS,60,22,.732,—,95.8,90.4,5.65
2003,7,DAL,60,22,.732,—,103.0,95.2,7.90
2003,18,MIN,51,31,.622,9.0,98.1,96.0,2.46
2003,29,UTA,47,35,.573,13.0,94.7,92.3,2.76
2003,11,HOU,43,39,.524,17.0,93.8,92.3,1.89
2003,15,MEM,28,54,.341,32.0,97.5,100.7,-2.60
2003,8,DEN,17,65,.207,43.0,84.2,92.4,-7.41
2003,26,SAC,59,23,.720,—,101.7,95.2,6.68
2003,14,LAL,50,32,.610,9.0,100.4,98.0,2.71
2003,25,POR,50,32,.610,9.0,95.2,92.5,2.97
2003,24,PHO,44,38,.537,15.0,95.5,94.4,1.57
2003,21,SEA,40,42,.488,19.0,92.1,92.3,0.37
2003,10,GSW,38,44,.463,21.0,102.4,103.6,-0.60
2003,13,LAC,27,55,.329,32.0,93.8,97.9,-3.45
