Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1995.0,12.0,677,IND,Indiana Pacers,Antonio Davis,26.0,17.0,367.0,10.6,0.52,0.0,0.83,13.0,20.1,16.6,3.1,1.4,2.8,19.2,15.2,0.0,0.5,0.5,0.07,-2.7,0.5,-2.2,0.0
1995.0,12.0,2581,IND,Indiana Pacers,Byron Scott,33.0,17.0,298.0,7.0,0.47,0.36,0.36,2.1,8.4,5.3,9.0,1.8,0.3,16.8,20.4,-0.3,0.2,0.0,-0.01,-3.0,-0.9,-4.0,-0.2
1995.0,12.0,683,IND,Indiana Pacers,Dale Davis,25.0,17.0,490.0,12.2,0.54,0.0,0.45,13.6,21.2,17.4,2.1,0.8,2.6,14.9,14.0,0.3,0.6,0.8,0.08,-0.6,-0.5,-1.1,0.1
1995.0,12.0,1941,IND,Indiana Pacers,Derrick McKey,28.0,17.0,592.0,13.8,0.54,0.2,0.36,6.2,11.0,8.6,18.8,1.6,1.7,15.2,18.6,0.7,0.6,1.3,0.1,1.3,1.4,2.6,0.7
1995.0,12.0,910,IND,Indiana Pacers,Duane Ferrell,29.0,10.0,85.0,7.4,0.44,0.08,0.67,11.8,4.4,8.1,25.1,0.0,2.2,24.4,22.4,-0.1,0.0,-0.1,-0.05,-2.4,-1.5,-3.9,0.0
1995.0,12.0,1629,IND,Indiana Pacers,Greg Kite,33.0,8.0,26.0,3.4,0.52,0.0,0.67,14.5,19.3,16.9,0.0,2.1,0.0,34.0,10.5,0.0,0.0,0.0,0.04,-9.1,0.5,-8.6,0.0
1995.0,12.0,3230,IND,Indiana Pacers,Haywoode Workman,29.0,17.0,275.0,10.1,0.48,0.27,0.48,2.3,10.5,6.4,26.6,2.2,0.0,16.5,16.4,0.1,0.3,0.4,0.07,-2.4,1.7,-0.8,0.1
1995.0,12.0,1408,IND,Indiana Pacers,Mark Jackson,29.0,17.0,554.0,15.9,0.56,0.31,0.35,6.1,14.0,10.1,36.9,1.5,0.0,21.4,16.0,0.9,0.5,1.4,0.12,3.0,0.4,3.4,0.8
1995.0,12.0,1997,IND,Indiana Pacers,Reggie Miller,29.0,17.0,641.0,21.8,0.63,0.44,0.42,1.8,10.2,6.0,11.5,1.3,0.6,10.2,27.7,2.2,0.5,2.6,0.2,6.9,0.1,6.9,1.4
1995.0,12.0,2710,IND,Indiana Pacers,Rik Smits,28.0,17.0,546.0,22.1,0.61,0.0,0.46,7.4,19.9,13.7,13.2,0.5,2.4,10.9,26.6,1.6,0.6,2.2,0.19,3.3,1.2,4.5,0.9
1995.0,12.0,2012,IND,Indiana Pacers,Sam Mitchell,31.0,17.0,223.0,6.5,0.44,0.03,0.44,9.6,17.4,13.5,4.5,0.7,0.4,15.5,18.8,-0.2,0.2,0.0,0.0,-4.8,-1.2,-6.0,-0.2
1995.0,12.0,922,IND,Indiana Pacers,Vern Fleming,32.0,3.0,8.0,8.9,0.23,0.33,1.0,15.7,15.6,15.7,43.3,0.0,0.0,0.0,25.1,0.0,0.0,0.0,-0.13,-0.6,-4.1,-4.7,0.0
