PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Dana Barros,27,82,82,3318,6.2,12.6,0.49,2.1,4.6,0.46399999999999997,4.1,8.0,0.505,3.8,4.2,0.899,0.3,2.7,3.0,6.7,1.6,0.0,2.6,1.7,18.3
Clarence Weatherspoon,24,76,76,2991,6.5,14.9,0.439,0.0,0.3,0.19,6.5,14.6,0.44299999999999995,3.4,4.5,0.7509999999999999,1.7,4.6,6.3,2.6,1.4,0.8,2.3,2.3,16.5
Shawn Bradley,22,82,59,2365,4.8,10.5,0.455,0.0,0.0,0.0,4.8,10.5,0.457,2.3,3.5,0.638,3.7,6.3,10.0,0.8,0.8,4.2,2.2,5.1,11.8
Sharone Wright,22,79,49,2044,6.4,13.7,0.465,0.0,0.1,0.0,6.4,13.5,0.47,3.2,5.0,0.645,3.4,4.9,8.3,0.8,0.7,1.8,2.7,4.3,15.9
Scott Williams,26,77,43,1781,4.2,8.8,0.475,0.0,0.1,0.0,4.2,8.6,0.48200000000000004,1.6,2.2,0.738,3.5,6.3,9.8,1.2,1.4,0.8,1.7,4.8,9.9
Willie Burton,26,53,31,1564,5.6,13.9,0.401,2.4,6.3,0.385,3.2,7.6,0.414,5.1,6.1,0.8240000000000001,1.1,2.6,3.8,2.2,0.7,0.4,2.8,3.8,18.7
Jeff Grayer,29,47,25,1098,5.3,12.5,0.428,0.2,0.5,0.33299999999999996,5.2,12.0,0.43200000000000005,1.9,2.7,0.6990000000000001,1.9,3.0,4.9,2.4,0.9,0.1,1.8,2.6,12.8
Derrick Alston,22,64,1,1032,4.2,9.0,0.465,0.0,0.1,0.0,4.2,8.9,0.47200000000000003,2.1,4.2,0.49200000000000005,3.4,4.2,7.6,1.2,1.4,1.2,1.8,3.7,10.4
B.J. Tyler,23,55,8,809,3.2,8.4,0.381,0.7,2.3,0.314,2.5,6.1,0.406,1.6,2.2,0.7,0.6,2.2,2.8,7.7,1.6,0.1,4.3,2.6,8.7
Greg Graham,24,50,7,775,4.4,10.4,0.426,0.3,1.3,0.214,4.1,9.1,0.456,2.6,3.4,0.753,0.9,2.0,2.9,3.1,1.3,0.3,2.2,3.5,11.7
Jeff Malone,33,19,19,660,7.9,15.5,0.507,0.6,1.5,0.39299999999999996,7.3,14.0,0.52,2.8,3.2,0.8640000000000001,0.6,2.4,3.0,1.6,0.8,0.0,1.6,1.9,19.1
Tim Perry,29,42,1,446,2.2,6.3,0.34600000000000003,0.0,1.1,0.0,2.2,5.2,0.42200000000000004,1.8,3.2,0.55,3.1,4.1,7.2,1.0,0.8,1.2,1.7,4.1,6.1
Corey Gaines,29,11,8,280,3.1,6.6,0.47100000000000003,0.3,1.9,0.133,2.8,4.6,0.611,0.6,1.4,0.455,0.1,2.2,2.3,4.2,1.0,0.1,1.8,3.0,7.1
Jaren Jackson,27,21,1,257,3.5,9.5,0.368,0.6,2.1,0.267,2.9,7.4,0.396,2.2,3.4,0.667,2.5,3.4,5.9,2.7,1.3,0.7,2.4,4.6,9.8
Jerome Harmon,25,10,0,158,4.8,12.1,0.396,0.2,0.2,1.0,4.6,11.8,0.385,0.7,1.4,0.5,2.1,3.2,5.2,2.7,2.1,0.0,1.6,2.7,10.5
Alphonso Ford,23,5,0,98,3.3,14.3,0.231,0.0,3.3,0.0,3.3,11.0,0.3,0.4,0.7,0.5,2.9,4.4,7.3,3.3,0.4,0.0,2.9,1.8,7.0
Lloyd Daniels,27,5,0,63,5.1,15.4,0.33299999999999996,1.7,8.0,0.214,3.4,7.4,0.462,1.1,1.1,1.0,1.1,2.9,4.0,2.3,1.1,0.0,4.6,4.6,13.1
Kevin Pritchard,27,5,0,36,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,,1.0,4.0,0.25,0.0,1.0,1.0,11.0,0.0,0.0,5.0,3.0,1.0
Alaa Abdelnaby,26,3,0,30,1.2,13.2,0.091,0.0,0.0,,1.2,13.2,0.091,0.0,0.0,,3.6,6.0,9.6,0.0,0.0,0.0,6.0,2.4,2.4
