Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2014-15,19.0,CHO,NBA,PF,25.0,0.0,10.4,1.2,3.0,0.395,0.2,0.5,0.385,1.0,2.5,0.397,0.428,0.7,1.0,0.692,1.1,2.3,3.4,0.2,0.2,0.4,0.4,0.8,3.3
2015-16,20.0,POR,NBA,PF,78.0,56.0,15.1,1.5,3.6,0.421,0.1,0.6,0.239,1.4,3.0,0.457,0.441,0.5,0.7,0.745,1.2,2.7,3.9,0.4,0.3,0.3,0.6,1.9,3.6
2016-17,21.0,POR,NBA,PF,74.0,41.0,17.1,1.8,3.6,0.481,0.1,0.3,0.35,1.7,3.4,0.492,0.494,0.8,1.3,0.638,1.8,3.5,5.2,0.4,0.4,0.4,0.9,2.1,4.4
2017-18,22.0,TOT,NBA,PF,54.0,16.0,16.2,1.9,4.3,0.444,0.4,1.2,0.303,1.6,3.1,0.5,0.487,0.7,1.1,0.621,1.3,4.5,5.8,0.6,0.4,0.3,0.6,1.3,4.9
2017-18,22.0,POR,NBA,PF,33.0,12.0,14.4,1.4,2.9,0.49,0.1,0.2,0.333,1.4,2.7,0.5,0.5,0.7,0.9,0.742,1.1,4.0,5.1,0.4,0.2,0.3,0.5,1.3,3.6
2017-18,22.0,CHI,NBA,PF,21.0,4.0,19.0,2.7,6.6,0.413,0.9,2.9,0.3,1.9,3.7,0.5,0.478,0.6,1.3,0.481,1.7,5.2,6.9,1.0,0.6,0.3,0.8,1.2,6.9
2018-19,23.0,NYK,NBA,PF,68.0,57.0,25.3,3.0,6.5,0.47,0.7,2.0,0.336,2.4,4.5,0.531,0.523,1.6,2.3,0.712,1.7,6.1,7.8,1.9,0.7,0.8,1.3,2.6,8.4
2019-20,24.0,TOT,NBA,C,36.0,1.0,10.5,1.4,2.6,0.565,0.1,0.4,0.2,1.4,2.1,0.636,0.582,0.7,0.9,0.781,1.0,2.4,3.4,0.8,0.3,0.2,0.6,1.1,3.7
2019-20,24.0,MIN,NBA,C,29.0,1.0,12.0,1.6,3.0,0.547,0.1,0.5,0.143,1.6,2.5,0.625,0.558,0.8,1.0,0.821,1.2,2.8,4.0,0.9,0.4,0.2,0.7,1.2,4.1
2019-20,24.0,DEN,NBA,C,7.0,0.0,4.3,0.7,0.9,0.833,0.1,0.1,1.0,0.6,0.7,0.8,0.917,0.3,0.6,0.5,0.4,0.7,1.1,0.3,0.0,0.0,0.3,0.6,1.9
