Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2004,19.0,CLE,NBA,SG,79.0,79.0,3122.0,7.2,17.2,0.417,0.7,2.5,0.29,6.4,14.7,0.438,4.0,5.3,0.754,1.1,3.8,5.0,5.4,1.5,0.7,3.1,1.7,19.1
2005,20.0,CLE,NBA,SF,80.0,80.0,3388.0,8.4,17.9,0.472,1.1,3.3,0.351,7.3,14.6,0.499,5.1,6.8,0.75,1.2,5.1,6.2,6.1,1.9,0.6,2.8,1.6,23.1
2006,21.0,CLE,NBA,SF,79.0,79.0,3361.0,9.4,19.5,0.48,1.4,4.1,0.335,8.0,15.5,0.518,6.4,8.7,0.738,0.8,5.2,6.0,5.6,1.3,0.7,2.8,1.9,26.5
2007,22.0,CLE,NBA,SF,78.0,78.0,3190.0,8.7,18.3,0.476,1.1,3.5,0.319,7.6,14.8,0.513,5.5,7.9,0.698,0.9,5.0,5.9,5.3,1.4,0.6,2.8,1.9,24.1
2008,23.0,CLE,NBA,SF,75.0,74.0,3027.0,9.4,19.5,0.484,1.3,4.3,0.315,8.1,15.3,0.531,6.5,9.2,0.712,1.6,5.5,7.0,6.4,1.6,1.0,3.0,2.0,26.8
2009,24.0,CLE,NBA,SF,81.0,81.0,3054.0,9.3,19.0,0.489,1.6,4.5,0.344,7.7,14.5,0.535,7.0,9.0,0.78,1.2,6.0,7.2,6.9,1.6,1.1,2.8,1.6,27.2
2010,25.0,CLE,NBA,SF,76.0,76.0,2966.0,9.3,18.5,0.503,1.6,4.7,0.333,7.8,13.8,0.56,7.2,9.4,0.767,0.9,5.9,6.7,7.9,1.5,0.9,3.2,1.4,27.4
2011,26.0,MIA,NBA,SF,79.0,79.0,3063.0,8.9,17.5,0.51,1.1,3.3,0.33,7.8,14.2,0.552,5.9,7.8,0.759,0.9,6.0,6.9,6.5,1.5,0.6,3.3,1.9,24.8
2012,27.0,MIA,NBA,SF,62.0,62.0,2326.0,9.6,18.1,0.531,0.8,2.3,0.362,8.8,15.8,0.556,6.0,7.8,0.771,1.5,6.2,7.6,6.0,1.8,0.8,3.3,1.5,26.0
2013,28.0,MIA,NBA,PF,76.0,76.0,2877.0,9.6,16.9,0.565,1.3,3.2,0.406,8.3,13.8,0.602,5.0,6.7,0.753,1.2,6.4,7.6,6.9,1.6,0.8,2.8,1.4,25.5
2014,29.0,MIA,NBA,PF,77.0,77.0,2902.0,9.5,16.8,0.567,1.4,3.8,0.379,8.1,13.0,0.622,5.4,7.3,0.75,1.0,5.6,6.6,6.1,1.5,0.3,3.3,1.6,25.9
2015,30.0,CLE,NBA,SF,69.0,69.0,2493.0,9.0,18.5,0.488,1.7,4.9,0.354,7.3,13.6,0.536,5.4,7.6,0.71,0.7,5.3,6.0,7.4,1.6,0.7,3.9,1.9,25.2
2016,31.0,CLE,NBA,SF,76.0,76.0,2709.0,9.8,18.8,0.52,1.2,3.7,0.309,8.6,15.1,0.573,4.8,6.5,0.731,1.5,6.0,7.5,6.8,1.4,0.7,3.3,1.9,25.5
2017,32.0,CLE,NBA,SF,74.0,74.0,2794.0,9.5,17.3,0.548,1.6,4.4,0.363,7.9,12.9,0.611,4.6,6.8,0.674,1.2,7.0,8.2,8.3,1.2,0.6,3.9,1.7,25.2
2018,33.0,CLE,NBA,PF,82.0,82.0,3026.0,10.2,18.8,0.542,1.8,4.8,0.367,8.4,14.0,0.603,4.6,6.3,0.731,1.2,7.3,8.4,8.9,1.4,0.8,4.1,1.6,26.8
2019,34.0,LAL,NBA,SF,55.0,55.0,1937.0,10.4,20.4,0.51,2.1,6.1,0.339,8.3,14.3,0.582,5.2,7.8,0.665,1.1,7.6,8.6,8.4,1.3,0.6,3.7,1.7,28.0
2020,35.0,LAL,NBA,PG,67.0,67.0,2316.0,10.0,20.3,0.493,2.3,6.6,0.348,7.7,13.6,0.564,4.1,5.9,0.693,1.0,7.1,8.2,10.6,1.2,0.6,4.1,1.8,26.4
2021,36.0,LAL,NBA,PG,13.0,13.0,415.0,10.1,20.8,0.483,2.8,7.2,0.386,7.3,13.6,0.535,4.5,6.4,0.703,0.9,8.2,9.1,8.4,0.9,0.4,4.0,1.4,27.4
