Season,Age,Tm,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
1992,23.0,SAC,NBA,PG,56.0,535.0,11.5,0.494,0.036,0.343,5.2,8.7,7.0,15.7,3.2,1.3,17.8,18.5,,-0.2,0.5,0.3,0.028,,-3.4,1.2,-2.2,0.0
1993,24.0,SAC,NBA,PG,75.0,1726.0,11.3,0.511,0.012,0.323,4.6,9.2,6.8,15.8,3.0,1.2,17.8,15.9,,0.2,1.7,1.9,0.052,,-2.6,1.3,-1.3,0.3
1994,25.0,SAC,NBA,PG,61.0,1041.0,9.3,0.472,0.016,0.347,4.1,7.7,5.9,18.3,3.0,0.9,20.6,14.8,,-0.4,0.8,0.4,0.017,,-4.0,1.0,-3.0,-0.3
1995,26.0,SAC,NBA,PG,67.0,1086.0,11.8,0.491,0.164,0.286,2.6,8.9,5.8,18.9,4.7,1.3,19.4,16.4,,-0.3,1.9,1.6,0.071,,-3.7,4.2,0.4,0.6
1996,27.0,CHI,NBA,PG,68.0,671.0,11.2,0.436,0.057,0.24,3.0,8.5,5.7,15.1,4.5,1.4,12.7,16.0,,0.0,1.5,1.5,0.105,,-4.3,4.0,-0.2,0.3
1997,28.0,CHI,NBA,PG,72.0,1057.0,13.0,0.461,0.066,0.252,3.7,8.1,5.9,18.0,4.1,1.2,13.6,18.1,,0.4,2.0,2.4,0.107,,-3.0,3.0,0.0,0.5
1998,29.0,CHI,NBA,PG,71.0,1147.0,10.1,0.428,0.017,0.258,3.4,6.0,4.7,19.6,3.3,0.8,15.8,15.6,,-0.1,1.9,1.8,0.075,,-4.0,2.3,-1.6,0.1
1999,30.0,CHI,NBA,PG,39.0,1139.0,12.6,0.469,0.031,0.323,2.7,11.4,6.8,25.1,3.3,0.5,18.0,18.4,,-0.3,1.3,1.0,0.041,,-2.9,1.5,-1.4,0.2
2001,32.0,BOS,NBA,PG,54.0,1238.0,8.2,0.438,0.013,0.169,2.1,7.5,4.7,20.1,2.6,0.6,18.0,11.4,,-0.1,1.0,0.9,0.034,,-4.2,1.1,-3.1,-0.3
2002,33.0,BOS,NBA,PG,1.0,6.0,8.6,0.0,0.0,0.0,0.0,0.0,0.0,46.4,0.0,13.0,0.0,7.6,,0.0,0.0,0.0,0.025,,-1.0,5.2,4.2,0.0
2003,34.0,PHO,NBA,PG,32.0,262.0,7.2,0.425,0.0,0.279,1.3,10.0,5.6,19.2,3.4,0.6,26.0,11.2,,-0.2,0.4,0.2,0.031,,-6.0,2.8,-3.2,-0.1
