Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1999-00,21.0,WAS,NBA,SG,71.0,12.0,1373.0,254.0,605.0,0.42,28.0,77.0,0.364,226.0,528.0,0.428,0.443,103.0,133.0,0.774,38.0,91.0,129.0,108.0,28.0,6.0,84.0,142.0,639.0
2000-01,22.0,WAS,NBA,SF,78.0,42.0,2519.0,547.0,1249.0,0.438,40.0,146.0,0.274,507.0,1103.0,0.46,0.454,277.0,319.0,0.868,75.0,163.0,238.0,224.0,75.0,10.0,201.0,203.0,1411.0
2001-02,23.0,WAS,NBA,SG,63.0,57.0,2203.0,472.0,1084.0,0.435,16.0,42.0,0.381,456.0,1042.0,0.438,0.443,300.0,337.0,0.89,73.0,143.0,216.0,171.0,38.0,14.0,132.0,136.0,1260.0
2002-03,24.0,DET,NBA,SG,82.0,82.0,2640.0,570.0,1286.0,0.443,32.0,119.0,0.269,538.0,1167.0,0.461,0.456,440.0,528.0,0.833,88.0,230.0,318.0,208.0,64.0,13.0,200.0,249.0,1612.0
2003-04,25.0,DET,NBA,SG,78.0,78.0,2772.0,530.0,1166.0,0.455,18.0,68.0,0.265,512.0,1098.0,0.466,0.462,297.0,342.0,0.868,78.0,201.0,279.0,310.0,103.0,17.0,210.0,222.0,1375.0
2004-05,26.0,DET,NBA,SG,76.0,76.0,2926.0,510.0,1160.0,0.44,36.0,118.0,0.305,474.0,1042.0,0.455,0.455,368.0,429.0,0.858,74.0,221.0,295.0,372.0,77.0,13.0,217.0,232.0,1424.0
2005-06,27.0,DET,NBA,SG,80.0,80.0,2825.0,649.0,1322.0,0.491,55.0,120.0,0.458,594.0,1202.0,0.494,0.512,256.0,303.0,0.845,84.0,172.0,256.0,275.0,52.0,16.0,173.0,207.0,1609.0
2006-07,28.0,DET,NBA,SG,75.0,75.0,2763.0,547.0,1170.0,0.468,44.0,129.0,0.341,503.0,1041.0,0.483,0.486,347.0,403.0,0.861,75.0,207.0,282.0,285.0,59.0,15.0,159.0,232.0,1485.0
2007-08,29.0,DET,NBA,SG,72.0,72.0,2424.0,499.0,1030.0,0.484,62.0,141.0,0.44,437.0,889.0,0.492,0.515,184.0,221.0,0.833,75.0,160.0,235.0,299.0,73.0,10.0,132.0,171.0,1244.0
2008-09,30.0,DET,NBA,SG,67.0,51.0,2279.0,466.0,1043.0,0.447,70.0,190.0,0.368,396.0,853.0,0.464,0.48,223.0,263.0,0.848,44.0,163.0,207.0,297.0,40.0,4.0,133.0,176.0,1225.0
2009-10,31.0,DET,NBA,SG,46.0,46.0,1552.0,293.0,717.0,0.409,41.0,138.0,0.297,252.0,579.0,0.435,0.437,204.0,241.0,0.846,30.0,92.0,122.0,202.0,30.0,3.0,115.0,115.0,831.0
2010-11,32.0,DET,NBA,SG,55.0,39.0,1498.0,288.0,671.0,0.429,55.0,144.0,0.382,233.0,527.0,0.442,0.47,146.0,172.0,0.849,24.0,102.0,126.0,171.0,39.0,4.0,88.0,95.0,777.0
2011-12,33.0,CHI,NBA,SG,28.0,28.0,697.0,140.0,310.0,0.452,17.0,46.0,0.37,123.0,264.0,0.466,0.479,29.0,37.0,0.784,20.0,46.0,66.0,84.0,12.0,1.0,49.0,56.0,326.0
2012-13,34.0,CHI,NBA,SG,50.0,45.0,1088.0,204.0,475.0,0.429,16.0,52.0,0.308,188.0,423.0,0.444,0.446,66.0,77.0,0.857,16.0,67.0,83.0,119.0,24.0,5.0,84.0,93.0,490.0
