SEASON,TEAM ID,TEAM,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
1981,8,DEN,23,T.R. Dunn,SG,6-4,192,1955-02-01,US,3,Alabama
1981,8,DEN,2,Alex English,SF,6-7,190,1954-01-05,US,4,South Carolina
1981,8,DEN,22,Glen Gondrezick,PF,6-6,218,1955-08-30,US,3,UNLV
1981,8,DEN,1,Kenny Higgs,PG,6-0,180,1955-01-31,US,1,LSU
1981,8,DEN,34,Cedrick Hordges,PF,6-8,220,1957-01-08,US,R,"Auburn, South Carolina"
1981,8,DEN,35,Kim Hughes,C,6-11,220,1952-06-04,US,5,Wisconsin
1981,8,DEN,44,Dan Issel,C,6-9,235,1948-10-25,US,10,Kentucky
1981,8,DEN,7,Billy McKinney,PG,6-0,160,1955-06-05,US,2,Northwestern
1981,8,DEN,3,Carl Nicks,PG,6-1,175,1958-10-06,US,R,Indiana State University
1981,8,DEN,45,Jawann Oldham,C,7-0,215,1957-07-04,US,R,Seattle University
1981,8,DEN,43,James Ray,PF,6-8,215,1957-07-27,US,R,Jacksonville University
1981,8,DEN,25,Dave Robisch,C,6-10,235,1949-12-22,US,9,Kansas
1981,8,DEN,10,John Roche,PG,6-3,170,1949-09-26,US,6,South Carolina
1981,8,DEN,33,David Thompson,SG,6-4,195,1954-07-13,US,5,NC State
1981,8,DEN,42,Ronnie Valentine,SF,6-7,210,1957-11-27,US,R,Old Dominion
1981,8,DEN,55,Kiki Vandeweghe,SF,6-8,220,1958-08-01,DE,R,UCLA
