Season,Team ID,Team ABV,Team,Number,Player,Pos,Height,Weight,Birth Date,Nationality,Experience,College
2010,14,LAL,Los Angeles Lakers,12,Shannon Brown,SG,6-4,205,1985-11-29,US,3,Michigan State
2010,14,LAL,Los Angeles Lakers,24,Kobe Bryant,SG,6-6,212,1978-08-23,US,13,
2010,14,LAL,Los Angeles Lakers,17,Andrew Bynum,C,7-0,285,1987-10-27,US,4,
2010,14,LAL,Los Angeles Lakers,1,Jordan Farmar,PG,6-2,180,1986-11-30,US,3,UCLA
2010,14,LAL,Los Angeles Lakers,2,Derek Fisher,PG,6-1,200,1974-08-09,US,13,Little Rock
2010,14,LAL,Los Angeles Lakers,16,Pau Gasol,C,7-0,250,1980-07-06,ES,8,
2010,14,LAL,Los Angeles Lakers,28,Didier Ilunga-Mbenga,C,7-0,245,1980-12-30,CD,5,
2010,14,LAL,Los Angeles Lakers,6,Adam Morrison,SF,6-8,205,1984-07-19,US,2,Gonzaga
2010,14,LAL,Los Angeles Lakers,7,Lamar Odom,PF,6-10,220,1979-11-06,US,10,Rhode Island
2010,14,LAL,Los Angeles Lakers,21,Josh Powell,PF,6-9,225,1983-01-25,US,4,NC State
2010,14,LAL,Los Angeles Lakers,18,Sasha Vujacic,SG,6-7,195,1984-03-08,SI,5,
2010,14,LAL,Los Angeles Lakers,4,Luke Walton,SF,6-8,235,1980-03-28,US,6,Arizona
2010,14,LAL,Los Angeles Lakers,37,Metta World Peace,SF,6-6,260,1979-11-13,US,10,St. John's
