Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1985,22.0,SEA,NBA,PG,3,0,8.7,0.7,3.3,.200,0.0,0.3,.000,0.7,3.0,.222,.200,0.0,0.0,,0.0,1.0,1.0,0.7,1.0,0.0,0.7,0.7,1.3
1986,23.0,SEA,NBA,PG,82,29,23.2,2.8,5.5,.506,0.3,0.9,.324,2.5,4.6,.541,.532,1.1,1.3,.849,0.4,1.1,1.5,3.7,1.3,0.1,1.1,1.4,6.9
1987,24.0,SEA,NBA,PG,73,26,20.3,1.8,3.9,.458,0.4,1.1,.367,1.4,2.9,.493,.509,0.8,1.0,.831,0.3,1.2,1.5,4.8,1.0,0.0,1.2,1.0,4.8
1988,25.0,SEA,NBA,PG,77,0,12.3,1.2,2.8,.408,0.3,1.0,.286,0.9,1.8,.475,.459,0.6,0.7,.811,0.2,0.7,1.0,2.8,0.7,0.0,0.5,0.9,3.2
1989,26.0,POR,NBA,PG,48,2,19.8,2.4,5.2,.460,0.4,1.0,.340,2.0,4.2,.490,.494,1.0,1.3,.781,0.4,1.2,1.5,2.6,1.1,0.1,0.9,1.0,6.2
1990,27.0,POR,NBA,PG,82,8,17.0,1.7,4.0,.421,0.2,0.7,.271,1.5,3.3,.454,.445,1.1,1.4,.813,0.4,1.1,1.5,2.8,1.0,0.0,1.0,1.0,4.7
1991,28.0,POR,NBA,PG,75,1,12.0,1.4,3.6,.380,0.5,1.4,.346,0.9,2.2,.401,.446,0.5,0.6,.911,0.3,0.7,1.0,1.9,0.7,0.1,0.7,0.7,3.8
1992,29.0,TOT,NBA,PG,62,5,16.5,1.6,4.1,.392,0.4,1.1,.329,1.2,3.0,.416,.437,0.9,1.1,.851,0.3,1.0,1.2,2.8,0.7,0.1,0.8,0.9,4.5
1992,29.0,POR,NBA,PG,18,0,7.4,0.9,2.2,.400,0.2,0.6,.300,0.7,1.7,.433,.438,0.6,0.8,.714,0.0,0.5,0.5,1.1,0.3,0.0,0.3,0.3,2.5
1992,29.0,LAC,NBA,PG,44,5,20.2,1.9,4.9,.391,0.5,1.4,.333,1.5,3.5,.413,.437,1.1,1.2,.887,0.4,1.1,1.5,3.5,0.9,0.1,1.0,1.1,5.3
1993,30.0,DET,NBA,PG,65,2,12.9,1.1,2.6,.413,0.3,1.0,.324,0.7,1.5,.475,.479,0.4,0.5,.875,0.2,0.5,0.7,1.8,0.5,0.1,0.5,0.6,2.9
1994,31.0,Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France)
1995,32.0,MIL,NBA,PG,7,0,11.0,1.3,2.4,.529,0.7,1.7,.417,0.6,0.7,.800,.676,0.1,0.1,1.000,0.1,0.6,0.7,1.7,0.6,0.0,0.6,1.1,3.4
