Season,Team ID,Player ID,Team ABV,Team,Number,Player,Pos,Height,Weight,Birth Date,Nationality,Experience,College
1994,25,409,POR,Portland Trail Blazers,2,Mark Bryant,C,6-9,245,1965-04-25,US,5,Seton Hall
1994,25,788,POR,Portland Trail Blazers,22,Clyde Drexler,SG,6-7,210,1962-06-22,US,10,Houston
1994,25,794,POR,Portland Trail Blazers,24,Chris Dudley,C,6-11,235,1965-02-22,US,6,Yale
1994,25,1084,POR,Portland Trail Blazers,44,Harvey Grant,SF,6-8,195,1965-07-04,US,5,"Clemson, Oklahoma"
1994,25,1404,POR,Portland Trail Blazers,21,Jaren Jackson,SG,6-4,190,1967-10-27,US,3,Georgetown
1994,25,1602,POR,Portland Trail Blazers,25,Jerome Kersey,SF,6-7,215,1962-06-26,US,9,Longwood University
1994,25,2097,POR,Portland Trail Blazers,31,Tracy Murray,SF,6-7,225,1971-07-25,US,1,UCLA
1994,25,2348,POR,Portland Trail Blazers,30,Terry Porter,PG,6-3,195,1963-04-08,US,8,University of Wisconsin-Stevens Point
1994,25,2477,POR,Portland Trail Blazers,3,Clifford Robinson,C,6-10,225,1966-12-16,US,4,UConn
1994,25,2486,POR,Portland Trail Blazers,26,James Robinson,PG,6-2,180,1970-08-31,US,R,Alabama
1994,25,2706,POR,Portland Trail Blazers,54,Reggie Smith,PF,6-10,240,1970-08-21,US,1,TCU
1994,25,2781,POR,Portland Trail Blazers,1,Rod Strickland,PG,6-3,175,1966-07-11,US,5,DePaul
1994,25,2876,POR,Portland Trail Blazers,35,Kevin Thompson,C,6-11,260,1971-02-07,US,R,NC State
1994,25,3138,POR,Portland Trail Blazers,52,Buck Williams,PF,6-8,215,1960-03-08,US,12,Maryland
