Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2010.0,27.0,1926,SAS,San Antonio Spurs,Antonio McDyess,35.0,10.0,10.0,24.7,3.3,6.2,0.53,0.0,0.0,,3.3,6.2,0.53,0.53,0.2,0.2,1.0,1.8,5.0,6.8,1.2,0.2,0.7,0.9,2.7,6.8
2010.0,27.0,259,SAS,San Antonio Spurs,DeJuan Blair,20.0,10.0,0.0,9.1,1.6,3.2,0.5,0.0,0.0,,1.6,3.2,0.5,0.5,0.5,0.9,0.56,1.9,2.0,3.9,0.5,0.5,0.4,0.2,1.8,3.7
2010.0,27.0,2827,SAS,San Antonio Spurs,Garrett Temple,23.0,6.0,0.0,2.5,0.2,0.5,0.33,0.2,0.5,0.33,0.0,0.0,,0.5,0.2,0.2,1.0,0.0,0.3,0.3,0.3,0.2,0.0,0.3,0.2,0.7
2010.0,27.0,1288,SAS,San Antonio Spurs,George Hill,23.0,10.0,8.0,34.4,4.6,10.2,0.45,1.1,2.9,0.38,3.5,7.3,0.48,0.5,3.1,3.7,0.84,0.5,2.6,3.1,0.7,1.0,0.2,0.8,2.1,13.4
2010.0,27.0,1815,SAS,San Antonio Spurs,Ian Mahinmi,23.0,2.0,0.0,9.5,1.5,3.0,0.5,0.0,0.0,,1.5,3.0,0.5,0.5,1.5,2.0,0.75,0.0,1.0,1.0,0.0,0.0,0.5,1.0,1.5,4.5
2010.0,27.0,275,SAS,San Antonio Spurs,Keith Bogans,29.0,8.0,0.0,6.9,0.3,1.3,0.2,0.1,0.8,0.17,0.1,0.5,0.25,0.25,0.0,0.0,,0.1,0.6,0.8,0.3,0.3,0.1,0.3,1.1,0.6
2010.0,27.0,1040,SAS,San Antonio Spurs,Manu Ginobili,32.0,10.0,10.0,35.2,5.8,14.0,0.41,2.0,6.0,0.33,3.8,8.0,0.48,0.49,5.8,6.7,0.87,0.4,3.3,3.7,6.0,2.6,0.2,3.0,3.0,19.4
2010.0,27.0,291,SAS,San Antonio Spurs,Matt Bonner,29.0,10.0,0.0,17.3,1.9,4.4,0.43,1.0,2.7,0.37,0.9,1.7,0.53,0.55,0.2,0.2,1.0,0.7,2.5,3.2,0.4,0.1,0.3,0.7,2.2,5.0
2010.0,27.0,1444,SAS,San Antonio Spurs,Richard Jefferson,29.0,10.0,10.0,33.4,3.4,7.0,0.49,0.1,0.5,0.2,3.3,6.5,0.51,0.49,2.5,3.3,0.76,0.8,4.5,5.3,1.8,0.6,0.6,1.5,2.0,9.4
2010.0,27.0,1867,SAS,San Antonio Spurs,Roger Mason,29.0,6.0,0.0,10.2,0.2,2.0,0.08,0.2,1.2,0.14,0.0,0.8,0.0,0.12,0.0,0.0,,0.0,0.7,0.7,0.3,0.2,0.0,0.3,2.0,0.5
2010.0,27.0,800,SAS,San Antonio Spurs,Tim Duncan,33.0,10.0,10.0,37.3,7.8,15.0,0.52,0.1,0.2,0.5,7.7,14.8,0.52,0.52,3.3,6.9,0.48,3.0,6.9,9.9,2.6,0.8,1.7,2.4,2.7,19.0
2010.0,27.0,2248,SAS,San Antonio Spurs,Tony Parker,27.0,10.0,2.0,33.5,7.3,15.4,0.47,0.2,0.3,0.67,7.1,15.1,0.47,0.48,2.5,4.2,0.6,0.9,2.9,3.8,5.4,0.6,0.0,2.2,2.0,17.3
