Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1987,17.0,2653,MIL,Milwaukee Bucks,22.0,NBA,PG,13,0,15.8,1.4,4.8,.290,0.2,1.1,.214,1.2,3.7,.313,.315,0.8,0.9,.833,0.5,1.5,2.0,3.5,0.4,0.1,1.6,1.4,3.8
1988,12.0,2653,IND,Indiana Pacers,23.0,NBA,PG,51,2,14.9,1.7,4.1,.411,0.1,0.4,.300,1.6,3.7,.423,.426,0.9,1.1,.833,0.2,1.1,1.3,3.5,0.4,0.1,1.5,1.9,4.4
1989,12.0,2653,IND,Indiana Pacers,24.0,NBA,PG,80,13,19.6,2.5,5.5,.448,0.3,0.9,.267,2.2,4.6,.485,.471,1.6,1.8,.903,0.3,1.6,1.9,4.9,0.8,0.0,2.2,1.9,6.8
1990,22.0,2653,ORL,Orlando Magic,25.0,NBA,PG,70,32,20.9,2.7,6.6,.409,0.7,1.9,.394,2.0,4.7,.416,.466,1.5,1.7,.874,0.3,1.9,2.3,4.8,0.5,0.1,1.3,1.8,7.7
1991,22.0,2653,ORL,Orlando Magic,26.0,NBA,PG,79,66,34.4,5.8,13.2,.445,1.2,2.9,.408,4.7,10.3,.455,.489,4.3,4.8,.902,0.7,2.7,3.4,8.4,1.1,0.1,3.2,2.4,17.2
1992,22.0,2653,ORL,Orlando Magic,27.0,NBA,PG,75,63,31.7,4.8,11.6,.414,1.2,3.3,.364,3.6,8.2,.434,.466,3.3,3.7,.895,0.5,2.2,2.7,7.3,1.0,0.1,3.1,2.5,14.1
1993,22.0,2653,ORL,Orlando Magic,28.0,NBA,PG,78,78,39.6,5.3,11.4,.467,1.0,3.0,.340,4.3,8.4,.512,.512,3.7,4.2,.892,0.7,3.1,3.7,9.4,1.1,0.0,3.4,3.1,15.4
1994,22.0,2653,ORL,Orlando Magic,29.0,NBA,PG,82,46,28.1,3.4,7.9,.429,0.8,2.0,.412,2.5,5.8,.434,.481,2.4,2.7,.878,0.5,1.8,2.3,6.1,0.6,0.0,2.4,2.1,9.9
1995,,2653,WSB,None,30.0,NBA,PG,62,62,33.5,4.3,9.4,.455,1.5,3.7,.421,2.7,5.7,.476,.537,2.9,3.3,.886,0.4,2.1,2.6,7.3,1.1,0.1,2.8,2.2,13.0
1996,23.0,2653,PHI,Philadelphia 76Ers,31.0,NBA,PG,10,9,23.6,2.0,5.7,.351,1.5,3.4,.441,0.5,2.3,.217,.482,0.8,1.0,.800,0.1,1.5,1.6,3.8,0.7,0.0,1.6,2.1,6.3
