Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1997,21.0,PHI,NBA,PG,76.0,74.0,3045.0,7.4,17.8,0.416,1.8,5.4,0.341,5.6,12.4,0.448,4.5,6.4,0.702,1.4,2.3,3.7,6.7,1.9,0.3,4.0,2.8,21.1
1998,22.0,PHI,NBA,PG,80.0,80.0,3150.0,7.4,16.1,0.461,0.8,2.7,0.298,6.6,13.4,0.494,4.5,6.1,0.729,1.0,2.4,3.4,5.6,2.0,0.3,2.8,2.3,20.1
1999,23.0,PHI,NBA,SG,48.0,48.0,1990.0,7.9,19.1,0.412,1.0,3.6,0.291,6.8,15.5,0.44,6.4,8.6,0.751,1.2,3.1,4.3,4.0,2.0,0.1,3.0,1.8,23.2
2001,25.0,PHI,NBA,SG,71.0,71.0,2979.0,9.2,21.9,0.42,1.2,3.7,0.32,8.0,18.2,0.441,7.1,8.7,0.814,0.6,2.7,3.3,3.9,2.2,0.2,2.9,1.8,26.7
2002,26.0,PHI,NBA,SG,60.0,59.0,2622.0,9.1,22.9,0.398,1.1,3.7,0.291,8.1,19.2,0.419,6.5,8.0,0.812,0.6,3.1,3.7,4.5,2.3,0.2,3.3,1.4,25.9
2003,27.0,PHI,NBA,SG,82.0,82.0,3485.0,8.3,20.0,0.414,0.9,3.1,0.277,7.4,16.9,0.44,5.9,7.6,0.774,0.7,2.9,3.6,4.7,2.3,0.1,3.0,1.5,23.4
2004,28.0,PHI,NBA,SG,48.0,47.0,2040.0,7.7,19.9,0.387,1.0,3.5,0.286,6.7,16.3,0.408,6.0,8.0,0.745,0.6,2.5,3.1,5.7,2.0,0.1,3.7,1.5,22.3
2005,29.0,PHI,NBA,PG,75.0,75.0,3174.0,8.7,20.6,0.424,1.2,3.8,0.308,7.6,16.8,0.451,7.4,8.9,0.835,0.6,2.8,3.4,6.8,2.0,0.1,3.9,1.6,26.1
2006,30.0,PHI,NBA,PG,72.0,72.0,3103.0,9.5,21.1,0.447,0.8,2.6,0.323,8.6,18.6,0.465,7.8,9.6,0.814,0.5,2.2,2.7,6.2,1.6,0.1,2.9,1.4,27.6
2007,31.0,TOT,NBA,"PG,SG",65.0,64.0,2761.0,7.6,17.1,0.442,0.8,2.6,0.315,6.8,14.6,0.465,6.3,8.0,0.795,0.3,2.2,2.5,6.1,1.6,0.2,3.5,1.2,22.3
2007,31.0,PHI,NBA,PG,15.0,15.0,640.0,8.5,20.6,0.413,0.7,3.0,0.226,7.8,17.6,0.444,8.7,9.8,0.885,0.4,1.9,2.3,6.1,1.9,0.1,3.7,1.2,26.3
2007,31.0,DEN,NBA,SG,50.0,49.0,2121.0,7.3,16.1,0.454,0.8,2.4,0.347,6.4,13.6,0.473,5.6,7.4,0.759,0.3,2.3,2.6,6.1,1.5,0.2,3.4,1.3,21.1
2008,32.0,DEN,NBA,SG,82.0,82.0,3424.0,7.5,16.4,0.458,1.0,2.9,0.345,6.5,13.5,0.482,6.8,8.4,0.809,0.5,2.1,2.6,6.2,1.7,0.1,2.6,1.1,22.8
2009,33.0,TOT,NBA,"PG,SG",57.0,53.0,2093.0,6.0,14.3,0.417,0.5,1.7,0.283,5.5,12.6,0.435,4.7,6.0,0.781,0.5,2.5,3.0,4.9,1.5,0.1,2.5,1.5,17.1
2009,33.0,DEN,NBA,SG,3.0,3.0,123.0,5.3,11.7,0.45,0.6,2.3,0.25,4.7,9.4,0.5,5.3,7.3,0.72,0.9,1.5,2.3,5.9,0.9,0.3,2.9,0.9,16.4
2009,33.0,DET,NBA,PG,54.0,50.0,1970.0,6.0,14.5,0.416,0.5,1.7,0.286,5.6,12.8,0.432,4.6,5.9,0.786,0.5,2.5,3.0,4.8,1.6,0.1,2.5,1.5,17.2
2010,34.0,TOT,NBA,"PG,SG",28.0,24.0,865.0,5.7,13.2,0.43,0.4,1.0,0.36,5.3,12.1,0.436,4.3,5.5,0.794,0.7,2.6,3.3,4.7,0.8,0.1,2.7,2.0,16.0
2010,34.0,MEM,NBA,PG,3.0,0.0,67.0,8.1,14.0,0.577,0.5,0.5,1.0,7.5,13.4,0.56,3.2,6.4,0.5,0.5,1.6,2.1,5.9,0.5,0.0,3.8,2.7,19.9
2010,34.0,PHI,NBA,SG,25.0,24.0,798.0,5.5,13.1,0.417,0.4,1.1,0.333,5.1,12.0,0.425,4.4,5.4,0.824,0.7,2.7,3.4,4.6,0.8,0.1,2.6,1.9,15.7
