Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1986,23.0,ATL,NBA,PF,9.0,9.0,31.1,6.1,10.9,0.561,0.0,0.0,,6.1,10.9,0.561,0.561,1.7,2.6,0.652,3.4,3.8,7.2,0.6,0.8,0.9,1.7,4.2,13.9
1987,24.0,ATL,NBA,PF,9.0,9.0,39.6,6.7,12.8,0.522,0.0,0.0,,6.7,12.8,0.522,0.522,2.3,3.4,0.677,3.7,5.6,9.2,0.7,1.0,0.8,1.9,3.7,15.7
1988,25.0,ATL,NBA,PF,12.0,12.0,38.5,6.7,11.5,0.58,0.0,0.1,0.0,6.7,11.4,0.584,0.58,2.8,4.2,0.68,3.0,6.0,9.0,0.9,0.8,0.8,2.1,4.3,16.2
1991,28.0,ATL,NBA,PF,5.0,5.0,31.8,5.4,13.4,0.403,0.4,0.6,0.667,5.0,12.8,0.391,0.418,4.2,6.0,0.7,3.6,5.4,9.0,1.0,0.6,0.2,0.4,4.4,15.4
1993,30.0,ATL,NBA,PF,3.0,3.0,34.3,7.0,15.0,0.467,0.0,0.3,0.0,7.0,14.7,0.477,0.467,2.7,4.7,0.571,4.3,4.3,8.7,1.0,0.7,0.0,2.3,4.3,16.7
1994,31.0,ATL,NBA,PF,11.0,11.0,32.9,5.4,11.7,0.457,0.0,0.5,0.0,5.4,11.3,0.476,0.457,1.5,1.9,0.762,3.5,7.4,10.8,1.0,0.7,0.5,1.7,3.4,12.2
1997,34.0,HOU,NBA,PF,16.0,0.0,18.4,2.4,5.9,0.4,0.0,0.1,0.0,2.4,5.9,0.404,0.4,1.6,2.4,0.684,1.4,3.3,4.7,0.7,0.6,0.3,1.4,2.9,6.4
1998,35.0,HOU,NBA,PF,5.0,5.0,33.6,4.4,11.0,0.4,0.0,0.2,0.0,4.4,10.8,0.407,0.4,2.4,3.2,0.75,3.6,7.0,10.6,1.0,1.6,0.6,2.4,4.2,11.2
2003,40.0,SAS,NBA,C,18.0,0.0,5.1,1.2,2.2,0.525,0.1,0.1,1.0,1.1,2.2,0.513,0.538,0.2,0.2,1.0,1.1,0.7,1.7,0.1,0.1,0.1,0.4,0.9,2.6
2004,41.0,SAS,NBA,C,7.0,0.0,3.6,0.4,1.1,0.375,0.0,0.1,0.0,0.4,1.0,0.429,0.375,0.0,0.1,0.0,0.0,0.9,0.9,0.0,0.1,0.0,0.0,0.7,0.9
