Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Ortg,Drtg
2012,12,IND,Indiana Pacers,Danny Granger,28,11,11,420,9.0,22.6,0.4,3.4,9.5,0.36,5.6,13.1,0.43,3.0,3.6,0.82,1.9,6.1,8.1,3.5,0.8,0.5,3.8,4.0,24.3,100,104,1077
2012,12,IND,Indiana Pacers,David West,31,11,11,416,8.7,19.4,0.45,0.0,0.0,,8.7,19.4,0.45,4.7,5.8,0.82,2.8,9.6,12.3,2.9,1.0,0.8,2.2,4.3,22.0,107,101,3071
2012,12,IND,Indiana Pacers,Paul George,21,11,11,371,5.4,14.0,0.39,1.6,6.0,0.27,3.8,7.9,0.48,3.2,4.1,0.79,2.2,8.5,10.7,3.8,2.6,0.6,3.1,4.7,15.7,100,99,1019
2012,12,IND,Indiana Pacers,George Hill,25,11,11,346,7.4,16.6,0.45,2.4,6.3,0.38,5.0,10.3,0.49,6.2,7.3,0.85,1.4,2.5,3.9,5.0,2.1,0.5,3.5,3.3,23.3,115,104,1288
2012,12,IND,Indiana Pacers,Roy Hibbert,25,11,11,340,8.3,16.7,0.5,0.2,0.2,1.0,8.2,16.5,0.5,3.9,5.8,0.67,7.2,12.5,19.7,1.9,0.6,5.5,3.5,6.1,20.7,108,95,1275
2012,12,IND,Indiana Pacers,Leandro Barbosa,29,11,0,223,6.6,17.9,0.37,0.7,4.9,0.15,5.9,13.0,0.45,1.5,2.9,0.5,1.2,4.6,5.9,3.4,1.2,0.2,3.2,5.6,15.4,83,104,161
2012,12,IND,Indiana Pacers,Darren Collison,24,11,0,205,9.6,18.6,0.51,1.1,2.9,0.36,8.5,15.7,0.54,5.3,6.1,0.87,0.8,2.9,3.7,8.8,3.7,0.0,2.9,2.9,25.6,123,101,578
2012,12,IND,Indiana Pacers,Tyler Hansbrough,26,11,0,164,5.7,16.6,0.34,0.0,0.0,,5.7,16.6,0.34,4.7,7.0,0.67,4.0,7.7,11.6,2.0,1.7,1.0,2.7,7.3,16.0,90,101,1173
2012,12,IND,Indiana Pacers,Lou Amundson,29,11,0,94,7.0,13.4,0.52,0.0,0.0,,7.0,13.4,0.52,1.7,3.5,0.5,3.5,9.9,13.4,1.2,1.2,2.9,2.3,9.3,15.7,103,98,65
2012,12,IND,Indiana Pacers,Dahntay Jones,31,7,0,58,3.8,16.9,0.22,1.9,8.5,0.22,1.9,8.5,0.22,6.6,6.6,1.0,3.8,2.8,6.6,2.8,0.9,0.0,2.8,10.4,16.0,92,106,1532
2012,12,IND,Indiana Pacers,Lance Stephenson,21,4,0,12,9.1,40.9,0.22,4.5,9.1,0.5,4.5,31.8,0.14,4.5,9.1,0.5,0.0,0.0,0.0,4.5,0.0,0.0,9.1,9.1,27.3,60,110,2745
2012,12,IND,Indiana Pacers,Jeff Ayres,24,4,0,9,6.1,18.2,0.33,0.0,0.0,,6.1,18.2,0.33,0.0,0.0,,0.0,12.1,12.1,0.0,0.0,0.0,0.0,12.1,12.1,76,102,128
2012,12,IND,Indiana Pacers,A.J. Price,25,4,0,7,7.8,15.6,0.5,0.0,0.0,,7.8,15.6,0.5,0.0,0.0,,7.8,7.8,15.6,7.8,0.0,0.0,0.0,0.0,15.6,135,106,2358
