Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1990-91,22.0,CHI,NBA,PF,51.0,0.0,6.6,1.0,2.0,0.51,0.0,0.0,0.5,1.0,2.0,0.51,0.514,0.4,0.5,0.714,0.8,1.1,1.9,0.3,0.2,0.3,0.5,1.0,2.5
1991-92,23.0,CHI,NBA,PF,63.0,0.0,11.0,1.3,2.7,0.483,0.0,0.0,0.0,1.3,2.7,0.491,0.483,0.8,1.2,0.649,1.4,2.5,3.9,0.8,0.2,0.6,0.6,1.9,3.4
1992-93,24.0,CHI,NBA,PF,71.0,5.0,19.3,2.3,5.0,0.466,0.0,0.1,0.0,2.3,4.9,0.476,0.466,1.3,1.8,0.714,2.4,4.0,6.4,1.0,0.8,0.9,1.0,3.2,5.9
1993-94,25.0,CHI,NBA,C,38.0,11.0,16.8,3.0,6.2,0.483,0.0,0.1,0.2,3.0,6.1,0.489,0.485,1.6,2.6,0.612,1.8,2.9,4.8,1.0,0.4,0.6,1.2,2.9,7.6
1994-95,26.0,PHI,NBA,PF,77.0,43.0,23.1,2.7,5.6,0.475,0.0,0.1,0.0,2.7,5.5,0.482,0.475,1.0,1.4,0.738,2.2,4.1,6.3,0.8,0.9,0.5,1.1,3.1,6.4
1995-96,27.0,PHI,NBA,PF,13.0,1.0,14.8,1.2,2.2,0.517,0.0,0.2,0.0,1.2,2.1,0.556,0.517,0.8,0.9,0.833,1.0,2.5,3.5,0.4,0.5,0.5,0.6,2.1,3.1
1996-97,28.0,PHI,NBA,C,62.0,52.0,21.2,2.6,5.1,0.509,0.0,0.0,0.0,2.6,5.1,0.513,0.509,0.6,0.9,0.691,2.5,3.9,6.4,0.7,0.7,0.7,0.8,3.3,5.8
1997-98,29.0,PHI,NBA,C,58.0,7.0,13.8,1.6,3.7,0.437,0.0,0.1,0.0,1.6,3.6,0.447,0.437,0.9,1.1,0.81,1.5,2.1,3.6,0.5,0.3,0.4,0.5,2.3,4.1
1998-99,30.0,TOT,NBA,C,7.0,0.0,6.6,0.7,2.4,0.294,0.0,0.0,,0.7,2.4,0.294,0.294,0.6,1.0,0.571,0.4,1.6,2.0,0.1,0.4,0.3,0.6,1.3,2.0
1998-99,30.0,PHI,NBA,C,2.0,0.0,8.5,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.5,0.5,1.0,0.5,1.0,0.5,1.0,2.0,0.0
1998-99,30.0,MIL,NBA,C,5.0,0.0,5.8,1.0,3.0,0.333,0.0,0.0,,1.0,3.0,0.333,0.333,0.8,1.4,0.571,0.4,2.0,2.4,0.0,0.2,0.2,0.4,1.0,2.8
1999-00,31.0,MIL,NBA,C,68.0,46.0,21.9,3.1,6.3,0.5,0.0,0.0,,3.1,6.3,0.5,0.5,1.4,1.9,0.729,2.6,4.0,6.6,0.4,0.6,1.0,1.0,3.4,7.6
2000-01,32.0,MIL,NBA,C,66.0,31.0,19.3,2.6,5.5,0.474,0.0,0.1,0.25,2.6,5.4,0.476,0.475,0.9,1.1,0.857,1.5,4.0,5.5,0.5,0.7,0.5,0.6,2.7,6.1
2001-02,33.0,DEN,NBA,PF,41.0,16.0,18.0,2.1,5.3,0.396,0.0,0.0,0.0,2.1,5.2,0.4,0.396,0.7,1.0,0.732,2.0,3.1,5.1,0.3,0.4,0.8,0.9,2.4,4.9
2002-03,34.0,PHO,NBA,C,69.0,33.0,12.6,1.7,4.2,0.411,0.0,0.0,0.0,1.7,4.2,0.414,0.411,0.5,0.6,0.786,1.0,1.8,2.8,0.3,0.4,0.3,0.5,2.3,4.0
2003-04,35.0,TOT,NBA,C,43.0,21.0,12.3,2.1,4.3,0.484,0.0,0.1,0.667,2.0,4.3,0.481,0.489,0.4,0.6,0.593,0.9,2.2,3.1,0.4,0.5,0.4,0.4,2.2,4.6
2003-04,35.0,PHO,NBA,C,16.0,10.0,16.7,3.3,6.3,0.525,0.1,0.1,1.0,3.2,6.2,0.515,0.535,0.6,0.8,0.692,1.4,3.1,4.5,0.4,0.9,0.4,0.4,2.8,7.3
2003-04,35.0,DAL,NBA,C,27.0,11.0,9.6,1.4,3.1,0.435,0.0,0.0,0.0,1.4,3.1,0.44,0.435,0.3,0.5,0.5,0.6,1.7,2.2,0.4,0.2,0.3,0.4,1.9,3.0
2004-05,36.0,CLE,NBA,C,19.0,0.0,8.0,0.6,2.2,0.293,0.0,0.1,0.0,0.6,2.1,0.3,0.293,0.5,0.6,0.818,0.8,0.8,1.6,0.4,0.2,0.3,0.3,1.6,1.7
