Season,Age,Tm,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
1994,23.0,DAL,NBA,PF,81.0,1773.0,14.1,0.515,0.002,0.263,17.6,20.9,19.2,8.4,1.7,1.2,17.2,13.1,,2.1,1.6,3.6,0.098,,-0.9,-1.2,-2.1,-0.1
1995,24.0,DAL,NBA,PF,80.0,2385.0,13.8,0.462,0.014,0.148,14.1,24.7,19.1,10.5,0.7,0.8,12.2,17.6,,1.5,2.2,3.6,0.073,,-1.3,-1.2,-2.5,-0.3
1996,25.0,DAL,NBA,PF,68.0,2322.0,13.4,0.486,0.053,0.181,10.8,23.6,16.6,8.8,1.2,0.8,12.1,16.2,,1.7,1.9,3.7,0.076,,-1.9,-0.8,-2.7,-0.4
1997,26.0,TOR,NBA,PF,79.0,2421.0,12.0,0.522,0.024,0.225,12.7,20.4,16.4,5.6,1.3,1.3,16.4,13.1,,2.0,2.2,4.2,0.083,,-2.2,-1.0,-3.2,-0.7
1998,27.0,TOR,NBA,PF,14.0,352.0,13.4,0.443,0.024,0.15,15.3,17.2,16.2,8.6,1.5,0.6,10.6,18.9,,0.2,0.1,0.3,0.038,,-1.3,-3.2,-4.5,-0.2
1999,28.0,BOS,NBA,PF,18.0,206.0,12.4,0.462,0.02,0.333,14.9,13.5,14.2,11.2,1.3,0.0,10.7,14.2,,0.3,0.1,0.5,0.113,,-1.4,-1.8,-3.2,-0.1
2001,30.0,WAS,NBA,PF,45.0,638.0,13.1,0.457,0.039,0.359,14.9,25.6,20.2,7.8,1.5,0.9,10.6,13.8,,0.8,0.5,1.2,0.094,,-1.3,-1.7,-3.0,-0.2
2002,31.0,WAS,NBA,PF,79.0,1920.0,14.4,0.49,0.022,0.256,14.0,21.1,17.5,10.5,1.4,0.7,13.5,15.7,,2.4,1.9,4.3,0.107,,-0.4,-0.8,-1.3,0.4
2003,32.0,DAL,NBA,PF,26.0,222.0,7.0,0.396,0.0,0.177,14.4,14.9,14.6,5.2,1.2,0.3,18.3,16.7,,-0.2,0.2,0.0,0.005,,-5.4,-2.7,-8.1,-0.3
2004,33.0,GSW,NBA,PF,5.0,10.0,-7.8,0.0,0.0,0.0,11.2,0.0,5.6,0.0,0.0,0.0,0.0,9.2,,0.0,0.0,0.0,-0.169,,-9.8,-4.7,-14.5,0.0
