Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1997,6,1998,CLE,Cleveland Cavaliers,Chris Mills,27,80,79,3167,4.6,10.2,0.45,1.0,2.5,0.39,3.6,7.7,0.47,2.0,2.4,0.84,1.3,4.3,5.6,2.3,1.0,0.5,1.4,2.5,12.2
1997,6,334,CLE,Cleveland Cavaliers,Terrell Brandon,26,78,78,2868,7.2,16.5,0.44,1.3,3.4,0.37,5.9,13.1,0.46,3.4,3.7,0.9,0.6,3.2,3.8,6.2,1.7,0.4,2.2,2.2,19.1
1997,6,912,CLE,Cleveland Cavaliers,Danny Ferry,30,82,48,2633,4.7,10.9,0.43,1.6,3.9,0.4,3.1,7.0,0.44,1.0,1.2,0.85,1.1,3.5,4.6,2.1,0.8,0.4,1.3,3.3,11.9
1997,6,1293,CLE,Cleveland Cavaliers,Tyrone Hill,28,74,70,2582,5.0,8.3,0.6,0.0,0.0,0.0,5.0,8.3,0.6,3.4,5.3,0.63,3.6,6.7,10.3,1.3,0.9,0.4,2.0,3.7,13.3
1997,6,2302,CLE,Cleveland Cavaliers,Bobby Phills,27,69,65,2375,5.0,11.6,0.43,1.3,3.3,0.39,3.7,8.3,0.44,1.9,2.6,0.72,1.0,2.8,3.7,3.5,1.7,0.3,2.0,2.6,13.1
1997,6,2787,CLE,Cleveland Cavaliers,Bob Sura,23,82,23,2269,4.0,9.3,0.43,0.8,2.6,0.32,3.2,6.7,0.47,3.1,5.1,0.61,1.2,3.7,4.9,6.2,1.4,0.5,2.9,3.5,12.0
1997,6,2346,CLE,Cleveland Cavaliers,Vitaly Potapenko,21,80,3,1238,5.4,12.3,0.44,0.0,0.1,0.5,5.4,12.2,0.44,2.7,3.6,0.74,3.1,3.3,6.3,1.2,0.8,1.0,3.2,6.3,13.5
1997,6,3075,CLE,Cleveland Cavaliers,Mark West,36,70,43,959,3.8,6.8,0.56,0.0,0.0,,3.8,6.8,0.56,1.0,2.1,0.48,2.6,4.4,7.0,0.7,0.4,2.1,2.0,5.3,8.5
1997,6,1691,CLE,Cleveland Cavaliers,Antonio Lang,24,64,1,843,2.9,6.9,0.42,0.0,0.3,0.0,2.9,6.7,0.44,1.5,2.0,0.73,2.2,3.2,5.4,1.4,1.4,1.3,2.1,4.7,7.3
1997,6,1842,CLE,Cleveland Cavaliers,Donny Marshall,24,56,0,548,3.4,10.5,0.32,2.2,5.7,0.38,1.2,4.8,0.26,2.5,3.5,0.7,1.4,3.2,4.6,1.6,1.6,0.2,2.1,3.9,11.5
1997,6,1014,CLE,Cleveland Cavaliers,Reggie Geary,23,39,0,246,3.2,8.5,0.38,1.2,3.1,0.38,2.0,5.4,0.38,0.7,1.6,0.46,0.6,1.6,2.2,5.3,1.9,0.3,2.2,5.3,8.3
1997,6,2842,CLE,Cleveland Cavaliers,Carl Thomas,27,19,0,77,4.2,11.2,0.38,0.9,5.6,0.17,3.3,5.6,0.58,0.5,0.5,1.0,1.4,4.7,6.1,3.7,0.9,0.5,2.8,3.3,9.8
1997,6,2586,CLE,Cleveland Cavaliers,Shawnelle Scott,24,16,0,50,5.8,11.5,0.5,0.0,0.0,,5.8,11.5,0.5,2.9,7.9,0.36,5.8,5.8,11.5,0.0,0.0,2.2,0.0,4.3,14.4
